Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Joan García,42,0,0,,0,,€40.00m,0.0,0,0,0,0,0,1,0
Iñaki Peña,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Marc-André ter Stegen,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Wojciech Szczęsny,10,0,0,,0,,€900k,0.0,0,0,0,0,0,0,0
Diego Kochen,Not used during this season,0,0,,0,,€500k,,0,0,0,0,0,0,0
Eder Aller,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Pau Cubarsí,45,0,0,,0,,€80.00m,1.0,0,1,1,0,0,3,0
Jules Koundé,45,4,0,,0,,€65.00m,1.0,3,4,1,0,0,5,0
Alejandro Balde,38,3,0,,0,,€55.00m,0.0,2,2,0,0,0,2,0
Eric García,47,2,0,,0,,€35.00m,1.0,1,2,1,0,0,6,0
Gerard Martín,47,1,0,,0,,€25.00m,0.0,0,0,0,0,0,6,0
Ronald Araujo,35,0,0,,0,,€20.00m,3.0,0,3,3,0,0,2,0
João Cancelo,18,4,0,,0,,€9.00m,1.0,2,3,1,0,0,0,0
Andreas Christensen,17,0,1,21/12/2025,28,30/04/2026,€9.00m,0.0,0,0,0,0,0,1,0
Xavi Espart,4,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Álvaro Cortés,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Jofre Torrents,4,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Pedri,39,11,0,,0,,€150.00m,2.0,8,10,2,0,0,2,1
Fermín López,45,16,0,,0,,€100.00m,6.0,9,15,6,0,0,3,0
Dani Olmo,44,9,0,,0,,€60.00m,7.0,7,14,7,0,0,0,0
Frenkie de Jong,35,8,0,,0,,€45.00m,1.0,5,6,1,0,0,4,1
Gavi,9,1,0,,0,,€30.00m,0.0,1,1,0,0,0,3,0
Marc Bernal,28,1,1,04/04/2026,6,01/05/2026,€30.00m,2.0,1,3,2,0,0,3,0
Marc Casadó,31,1,0,,0,,€20.00m,0.0,1,1,0,0,0,1,0
Dro Fernández,5,1,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Tommy Marqués,1,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Guille Fernández,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Toni Fernández,1,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Juan Hernández,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Lamine Yamal,45,18,1,23/04/2026,6,31/05/2026,€200.00m,16.0,11,27,13,3,4,1,0
Raphinha,31,8,1,28/03/2026,6,Unknown,€80.00m,11.0,3,14,8,3,3,4,0
Ferran Torres,45,2,0,,0,,€50.00m,15.0,1,16,15,0,0,2,0
Marcus Rashford,45,13,0,,0,,€40.00m,7.0,7,14,7,0,0,2,0
Roony Bardghji,25,4,0,,0,,€15.00m,1.0,1,2,1,0,0,0,0
Robert Lewandowski,41,4,0,,0,,€8.00m,13.0,2,15,12,1,3,2,0
Dani Rodríguez,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
