Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Ionuț Radu,45,0,0,,0,,€8.00m,0.0,0,0,0,0,0,1,0
Iván Villar,5,0,0,,0,,€900k,,0,0,0,0,0,0,0
Marc Vidal,Not used during this season,0,0,,0,,€300k,,0,0,0,0,0,0,0
Marcos González,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Óscar Mingueza,42,6,0,,0,,€18.00m,1.0,4,5,1,0,0,4,0
Javi Rodríguez,41,2,0,,0,,€15.00m,0.0,1,1,0,0,0,5,0
Sergio Carreira,40,1,0,,0,,€8.00m,2.0,1,3,2,0,0,2,0
Álvaro Núñez,4,0,0,,0,,€6.00m,0.0,0,0,0,0,0,0,0
Carl Starfelt,31,0,0,,0,,€5.00m,0.0,0,0,0,0,0,3,1
Javi Rueda,34,5,0,,0,,€4.00m,2.0,5,7,2,0,0,5,0
Carlos Domínguez,13,0,0,,0,,€3.00m,0.0,0,0,0,0,0,1,0
Yoel Lago,14,1,0,,0,,€2.50m,0.0,0,0,0,0,0,4,0
Manu Fernández,18,0,0,,0,,€1.50m,0.0,0,0,0,0,0,2,0
Marcos Alonso,39,0,0,,0,,€1.40m,1.0,0,1,0,1,1,5,0
Joseph Aidoo,12,0,0,,0,,€1.00m,0.0,0,0,0,0,0,0,0
Mihailo Ristic,13,0,0,,0,,€800k,,0,0,0,0,0,0,0
Pablo Meixús,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Fer López,18,0,0,,0,,€16.00m,1.0,0,1,1,0,0,2,0
Miguel Román,29,3,1,11/03/2026,15,30/06/2026,€15.00m,1.0,0,1,1,0,0,3,0
Ilaix Moriba,44,3,0,,0,,€10.00m,1.0,2,3,1,0,0,6,0
Hugo Sotelo,29,2,0,,0,,€7.50m,0.0,2,2,0,0,0,3,0
Fran Beltrán,15,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Damián Rodríguez,6,0,0,,0,,Unknown,0.0,0,0,0,0,0,1,0
Matías Vecino,10,0,0,,0,,€1.50m,0.0,0,0,0,0,0,0,0
Óscar Marcos,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Hugo Burcio,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Andrés Antañón,3,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Williot Swedberg,36,5,0,,0,,€15.00m,4.0,4,8,4,0,0,2,0
Bryan Zaragoza,26,4,0,,0,,Unknown,1.0,1,2,0,1,1,1,0
Hugo Álvarez,33,2,0,,0,,€8.00m,4.0,1,5,4,0,0,2,0
Jones El-Abdellaoui,29,0,0,,0,,€8.00m,2.0,0,2,2,0,0,0,0
Ferran Jutglà,39,2,0,,0,,€7.00m,7.0,3,10,7,0,0,4,0
Pablo Durán,36,2,0,,0,,€4.00m,2.0,2,4,2,0,0,1,0
Borja Iglesias,45,3,0,,0,,€3.00m,13.0,2,15,9,4,4,7,0
Iago Aspas,43,6,0,,0,,€1.80m,5.0,3,8,3,2,2,4,0
Franco Cervi,3,1,0,,0,,€700k,,0,0,0,0,0,0,0
Hugo González,2,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Ángel Arcos,2,0,0,,0,,Unknown,,0,0,0,0,0,0,0
