Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Marko Dmitrovic,33,0,0,,0,,€800k,,0,0,0,0,0,0,0
Ángel Fortuño,2,0,0,,0,,€300k,,0,0,0,0,0,0,0
Llorenç Serred,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Pol Tristán,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Carlos Romero,31,2,0,,0,,€25.00m,5.0,2,7,5,0,0,4,0
Omar El Hilali,32,3,0,,0,,€15.00m,0.0,2,2,0,0,0,8,0
Clemens Riedel,19,1,0,,0,,€5.00m,0.0,1,1,0,0,0,5,0
José Salinas,12,0,0,,0,,€2.80m,0.0,0,0,0,0,0,2,0
Fernando Calero,25,0,0,,0,,€2.00m,0.0,0,0,0,0,0,4,0
Miguel Rubio,14,0,0,,0,,€2.00m,1.0,0,1,1,0,0,0,0
Rubén Sánchez,17,1,0,,0,,€1.50m,0.0,1,1,0,0,0,2,0
Pablo Ramón,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Roger Hinojo,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Leandro Cabrera,32,0,0,,0,,€1.00m,3.0,0,3,3,0,0,3,0
José Ángel López,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Adama Timera,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Urko González de Zárate,32,1,0,,0,,€10.00m,0.0,1,1,0,0,0,6,0
Pol Lozano,30,1,0,,0,,€6.00m,2.0,1,3,2,0,0,11,1
Edu Expósito,33,6,0,,0,,€5.00m,1.0,6,7,1,0,0,9,0
Ramón Terrats,27,1,0,,0,,€3.00m,1.0,1,2,1,0,0,0,0
Charles Pickel,22,0,0,,0,,€2.50m,1.0,0,1,1,0,0,3,2
Javi Hernández,2,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Rafel Bauzà,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Ferran Gómez,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Miguel Londoño,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Roberto Fernández,35,3,0,,0,,€10.00m,6.0,2,8,5,1,1,3,0
Tyrhys Dolan,34,5,0,,0,,€10.00m,1.0,4,5,1,0,0,6,1
Cyril Ngonge,9,2,0,,0,,€8.00m,0.0,2,2,0,0,0,4,0
Javi Puado,10,0,1,11/01/2026,20,01/09/2026,€7.50m,2.0,0,2,1,1,2,2,0
Luca Koleosho,5,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Jofre Carreras,23,0,0,,0,,€3.00m,1.0,0,1,1,0,0,1,0
Antoniu Roca,11,0,0,,0,,€1.80m,0.0,0,0,0,0,0,1,0
Pere Milla,29,0,0,,0,,€1.20m,6.0,0,6,6,0,0,6,1
Kike García,34,1,0,,0,,€800k,6.0,1,7,5,1,2,3,0
Lluc Castell,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
