Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
David Soria,33,0,0,,0,,€3.00m,0.0,0,0,0,0,0,2,0
Jiri Letacek,3,0,0,,0,,€2.00m,,0,0,0,0,0,0,0
Diego Ferrer,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Jorge Benito,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Juan Iglesias,33,3,0,,0,,€5.00m,1.0,2,3,1,0,0,4,0
Abdel Abqar,20,2,0,,0,,€4.00m,0.0,2,2,0,0,0,9,1
Sebastián Boselli,10,0,0,,0,,€2.80m,0.0,0,0,0,0,0,3,0
Zaid Romero,11,0,0,,0,,€2.50m,0.0,0,0,0,0,0,5,1
Dakonam Djené,31,0,0,,0,,€1.60m,0.0,0,0,0,0,0,10,1
Diego Rico,29,0,0,,0,,€1.20m,0.0,0,0,0,0,0,4,0
Davinchi,9,0,0,,0,,€1.00m,0.0,0,0,0,0,0,1,0
Kiko Femenía,28,1,0,,0,,€800k,1.0,1,2,1,0,0,6,0
Domingos Duarte,30,1,0,,0,,€800k,1.0,1,2,1,0,0,10,0
Ismael Bekhoucha,5,2,0,,0,,€300k,0.0,1,1,0,0,0,2,0
Allan Nyom,14,0,0,,0,,€200k,0.0,0,0,0,0,0,6,1
Marc Vilaplana,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Lucas Laso,3,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Jorge Montes,3,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Alberto Cordero,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Mario Martín,33,2,0,,0,,€10.00m,2.0,1,3,2,0,0,10,0
Mauro Arambarri,32,2,0,,0,,€10.00m,6.0,2,8,4,2,3,5,0
Luis Milla,33,9,0,,0,,€3.50m,0.0,9,9,0,0,0,5,1
Yvan Neyou,8,1,0,,0,,Unknown,0.0,0,0,0,0,0,2,0
Javi Muñoz,18,0,0,,0,,€1.50m,0.0,0,0,0,0,0,0,0
Alejandro Mestanza,3,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Alberto Risco,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Hugo Solozábal,3,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Adrián Riquelme,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Christantus Uche,3,1,0,,0,,Unknown,1.0,1,2,1,0,0,1,0
Borja Mayoral,17,1,1,22/12/2025,16,Unknown,€7.50m,4.0,1,5,4,0,1,0,0
Martín Satriano,14,1,0,,0,,€6.00m,4.0,1,5,4,0,0,4,0
Adrián Liso,29,3,0,,0,,€6.00m,3.0,0,3,3,0,0,5,1
Veljko Birmancevic,5,0,0,,0,,€4.50m,,0,0,0,0,0,0,0
Abu Kamara,12,0,0,,0,,€3.00m,0.0,0,0,0,0,0,1,0
Coba da Costa,16,1,0,,0,,Unknown,0.0,0,0,0,0,0,1,0
Luis Vázquez,13,0,0,,0,,€2.50m,3.0,0,3,3,0,0,2,0
Álex Sancris,19,2,0,,0,,€2.00m,0.0,1,1,0,0,0,3,1
Álex Sola,1,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Peter Federico,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Juanmi,11,2,0,,0,,€1.20m,1.0,0,1,1,0,0,0,0
Joselu Pérez,4,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Yassin Tallal,2,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Mykyta Aleksandrov,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
