Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Sergio Herrera,33,0,0,,0,,€3.00m,0.0,0,0,0,0,0,3,0
Aitor Fernández,4,0,0,,0,,€600k,,0,0,0,0,0,0,0
Dimitrios Stamatakis,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Enzo Boyomo,26,1,0,,0,,€20.00m,1.0,1,2,1,0,0,5,0
Jorge Herrando,31,2,0,,0,,€4.00m,0.0,1,1,0,0,0,3,0
Abel Bretones,26,0,0,,0,,€4.00m,1.0,1,2,1,0,0,5,1
Valentin Rosier,27,1,0,,0,,€3.00m,1.0,1,2,1,0,0,6,1
Alejandro Catena,33,2,0,,0,,€2.80m,3.0,2,5,3,0,0,10,1
Javi Galán,17,1,0,,0,,€2.00m,0.0,1,1,0,0,0,2,0
Juan Cruz,19,0,0,,0,,€1.20m,0.0,0,0,0,0,0,2,0
Iñigo Arguibide,9,0,0,,0,,€800k,0.0,0,0,0,0,0,0,1
Raúl Chasco,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Mikel Serrano,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Unai Santos,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Aimar Oroz,26,2,0,,0,,€9.00m,0.0,2,2,0,0,0,6,0
Jon Moncayola,33,4,0,,0,,€7.00m,0.0,4,4,0,0,0,9,0
Lucas Torró,32,2,0,,0,,€2.80m,0.0,1,1,0,0,0,6,0
Iker Muñoz,21,0,0,,0,,€2.00m,0.0,0,0,0,0,0,4,0
Moi Gómez,25,2,0,,0,,€1.80m,0.0,2,2,0,0,0,3,0
Asier Osambela,16,1,0,,0,,€1.00m,1.0,0,1,1,0,0,1,1
Jon García,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Mauro Echegoyen,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Víctor Muñoz,35,5,0,,0,,€20.00m,5.0,2,7,5,0,0,3,0
Raúl Moro,10,2,0,,0,,€5.00m,0.0,2,2,0,0,0,0,0
Raúl García,35,1,0,,0,,€3.00m,7.0,0,7,7,0,0,2,1
Ante Budimir,35,0,0,,0,,€3.00m,16.0,0,16,10,6,8,2,0
Rubén García,34,7,0,,0,,€1.80m,2.0,5,7,2,0,0,5,0
Sheraldo Becker,11,2,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Iker Benito,6,1,1,29/10/2025,32,01/07/2026,€1.50m,1.0,0,1,1,0,0,1,0
Kike Barja,27,2,0,,0,,€1.50m,1.0,2,3,1,0,0,2,0
Roberto Arroyo,2,1,0,,0,,Unknown,,0,0,0,0,0,0,0
Martin Pedroarena,2,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Aly Kall Doumbia,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
