Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Augusto Batalla,42,1,0,,0,,€6.00m,0.0,0,0,0,0,0,6,0
Dani Cárdenas,7,0,0,,0,,€1.80m,0.0,0,0,0,0,0,0,0
Juanpe Gil,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Adrián Molina,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Andrei Rațiu,42,3,0,,0,,€18.00m,,0,0,0,0,0,0,0
Pep Chavarría,37,3,0,,0,,€10.00m,1.0,2,3,1,0,0,6,1
Nobel Mendy,23,0,0,,0,,€6.00m,2.0,0,2,2,0,0,9,2
Abdul Mumin,1,0,0,,0,,€4.00m,0.0,0,0,0,0,0,0,0
Luiz Felipe,17,0,0,,0,,€3.00m,0.0,0,0,0,0,0,1,0
Jozhua Vertrouwd,17,0,0,,0,,€2.50m,0.0,0,0,0,0,0,0,0
Florian Lejeune,47,2,0,,0,,€2.00m,1.0,1,2,1,0,0,6,0
Iván Balliu,23,1,0,,0,,€1.20m,0.0,0,0,0,0,0,2,0
Alfonso Espino,38,1,0,,0,,€1.00m,2.0,0,2,2,0,0,2,0
Pelayo Fernández,2,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Marco de las Sías,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Sergio Lozano,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Pedro Díaz,40,3,0,,0,,€3.00m,0.0,1,1,0,0,0,1,0
Unai López,36,4,0,,0,,€2.50m,0.0,3,3,0,0,0,7,1
Óscar Valentín,41,1,0,,0,,€2.20m,1.0,0,1,1,0,0,3,1
Pathé Ciss,35,2,0,,0,,€2.00m,2.0,0,2,2,0,0,8,2
Gerard Gumbau,37,2,0,,0,,€1.40m,0.0,2,2,0,0,0,4,0
Randy Nteka,13,0,0,,0,,€1.20m,2.0,0,2,2,0,0,2,0
Óscar Trejo,15,0,0,,0,,€400k,0.0,0,0,0,0,0,2,0
Samu Becerra,6,0,0,,0,,€300k,0.0,0,0,0,0,0,0,0
Marco Román,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Ilias Akhomach,14,1,0,,0,,€12.00m,0.0,1,1,0,0,0,2,0
Jorge de Frutos,45,4,0,,0,,€12.00m,10.0,1,11,9,1,1,3,0
Isi Palazón,47,6,0,,0,,€3.00m,,0,0,0,0,0,0,0
Alemão,29,0,0,,0,,€3.00m,,0,0,0,0,0,0,0
Fran Pérez,38,2,0,,0,,€3.00m,2.0,1,3,2,0,0,4,0
Sergio Camello,32,3,0,,0,,€2.00m,3.0,0,3,3,0,0,2,1
Carlos Martín,9,0,0,,0,,€2.00m,0.0,0,0,0,0,0,1,0
Álvaro García,47,11,0,,0,,€1.80m,4.0,5,9,4,0,0,3,0
