Player,Appearances,Goals Scored,Injuries,Day Injured,Missed Games,Expected Return,Market Value,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Luiz Júnior,33,0,0,,0,,€12.00m,0.0,0,0,0,0,0,3,0
Diego Conde,1,0,0,,0,,€4.00m,,0,0,0,0,0,0,0
Arnau Tenas,10,0,0,,0,,€4.00m,0.0,0,0,0,0,0,0,0
Rubén Gómez,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Renato Veiga,39,0,0,,0,,€25.00m,0.0,0,0,0,0,0,4,1
Logan Costa,Not used during this season,0,0,,0,,€18.00m,,0,0,0,0,0,0,0
Rafa Marín,28,1,0,,0,,€12.00m,1.0,0,1,1,0,0,1,0
Pau Navarro,24,0,0,,0,,€10.00m,0.0,0,0,0,0,0,4,0
Juan Foyth,18,0,1,24/01/2026,20,31/08/2026,€10.00m,0.0,0,0,0,0,0,2,0
Santiago Mouriño,31,2,0,,0,,€10.00m,1.0,2,3,1,0,0,10,1
Sergi Cardona,38,3,0,,0,,€9.00m,1.0,4,5,1,0,0,4,0
Willy Kambwala,Not used during this season,0,0,,0,,€4.00m,0.0,0,0,0,0,0,0,0
Alex Freeman,7,0,0,,0,,€3.50m,0.0,0,0,0,0,0,0,0
Alfonso Pedraza,32,4,0,,0,,€2.50m,1.0,3,4,1,0,0,8,0
Alfonso Pedraza,32,4,0,,0,,€2.50m,1.0,0,1,1,0,0,0,0
Adrià Altimira,4,0,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Jean Ives Valou,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Daniel Budesca,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Ismael Sierra,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Pape Gueye,36,2,0,,0,,€40.00m,4.0,2,6,3,1,1,8,0
Santi Comesaña,40,5,0,,0,,€8.00m,3.0,6,9,3,0,0,5,1
Carlos Macià,5,0,0,,0,,€3.00m,0.0,0,0,0,0,0,1,0
Thomas Partey,28,0,0,,0,,€2.50m,0.0,0,0,0,0,0,1,0
Denis Suárez,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Dani Parejo,36,1,0,,0,,€1.20m,,0,0,0,0,0,0,0
Alassane Diatta,1,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Alberto Moleiro,40,5,0,,0,,€40.00m,10.0,4,14,10,0,0,4,0
Yéremy Pino,2,1,0,,0,,Unknown,0.0,1,1,0,0,0,0,0
Georges Mikautadze,38,5,0,,0,,€28.00m,11.0,5,16,11,0,0,1,0
Karl Etta Eyong,3,2,0,,0,,Unknown,1.0,2,3,1,0,0,0,0
Ilias Akhomach,15,2,0,,0,,Unknown,0.0,0,0,0,0,0,0,0
Tajon Buchanan,39,1,0,,0,,€12.00m,7.0,1,8,7,0,0,8,0
Manor Solomon,11,4,0,,0,,Unknown,1.0,1,2,1,0,0,0,0
Tani Oluwaseyi,35,2,0,,0,,€8.00m,2.0,2,4,2,0,0,1,0
Nicolas Pépé,42,6,0,,0,,€6.00m,8.0,6,14,7,1,1,4,0
Ayoze Pérez,28,4,0,,0,,€6.00m,2.0,3,5,2,0,0,3,0
Alfon González,8,0,0,,0,,€3.00m,1.0,3,4,1,0,0,8,0
Alfon González,8,0,0,,0,,€3.00m,1.0,0,1,1,0,0,0,0
Gerard Moreno,20,0,0,,0,,€2.80m,9.0,0,9,6,3,3,0,0
Hugo López,5,1,0,,0,,€1.00m,0.0,0,0,0,0,0,0,0
Pau Cabanes,Not used during this season,0,0,,0,,€800k,,0,0,0,0,0,0,0
Joselillo Gaitán,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
Mahamoud Barry,Not used during this season,0,0,,0,,Unknown,,0,0,0,0,0,0,0
