Player,Team,Assists,Matches Played,Coefficient
Pablo Sarabia,Sevilla,13,33,0.39
L. Messi,FC Barcelona,13,34,0.38
Jony,Deportivo Alavés,11,36,0.31
Santi Cazorla,Villarreal,10,35,0.29
W. Ben Yedder,Sevilla,9,35,0.26
J. Campaña,Levante,9,36,0.25
Jordi Alba,FC Barcelona,8,36,0.22
Moi Gómez,Huesca,8,36,0.22
A. Griezmann,Atlético de Madrid,8,37,0.22
Sergi Roberto,FC Barcelona,7,29,0.24
Brais Méndez,Celta,7,31,0.23
A. Vidal,FC Barcelona,7,33,0.21
Dani Parejo,Valencia,7,36,0.19
L. Suárez,FC Barcelona,6,33,0.18
Adrián Embarba,Rayo Vallecano,6,36,0.17
K. Benzema,Real Madrid,6,36,0.17
Luka Modrić,Real Madrid,6,34,0.18
J. Mata,Getafe,6,34,0.18
Óscar Melendo,Espanyol,6,32,0.19
Rodrigo Moreno,Valencia,6,33,0.18
Carlos Soler,Valencia,6,31,0.19
Koke,Atlético de Madrid,6,30,0.2
Cristian Tello,Real Betis,6,29,0.21
Iago Aspas,Celta,6,27,0.22
Willian José,Real Sociedad,5,31,0.16
Jorge Molina,Getafe,5,38,0.13
Morales,Levante,5,37,0.14
Maxi Gómez,Celta,5,35,0.14
Sergi Enrich,Eibar,5,35,0.14
Ivan Rakitić,FC Barcelona,5,34,0.15
Thomas,Atlético de Madrid,5,32,0.16
Jesús Navas,Sevilla,5,32,0.16
Rubén Rochina,Levante,5,27,0.19
W. Carvalho,Real Betis,5,30,0.17
Jonathan Silva,Leganés,5,30,0.17
M. Asensio,Real Madrid,5,30,0.17
Jason,Levante,5,30,0.17
Santi Mina,Valencia,5,30,0.17
O. Dembélé,FC Barcelona,5,29,0.17
M. Braithwaite,Leganés,5,19,0.26
Á. Granell,Girona FC,4,32,0.13
I. Williams,Athletic,4,38,0.11
Joan Jordán,Eibar,4,36,0.11
E. Bardhi,Levante,4,36,0.11
David Ferreiro,Huesca,4,35,0.11
Pablo Fornals,Villarreal,4,35,0.11
F. Vázquez,Sevilla,4,34,0.12
F. Orellana,Eibar,4,33,0.12
Óscar Plano,Real Valladolid,4,33,0.12
G. Lo Celso,Real Betis,4,32,0.13
F. Portillo,Getafe,4,32,0.13
É. Banega,Sevilla,4,32,0.13
Ibai Gómez,Athletic,4,32,0.13
A. Guardado,Real Betis,4,31,0.13
Toni Kroos,Real Madrid,4,28,0.14
Óscar Trejo,Rayo Vallecano,4,26,0.15
Junior Firpo,Real Betis,4,24,0.17
Pedro Porro,Girona FC,4,32,0.13
Iker Muniain,Athletic,3,34,0.09
Borja García,Girona FC,3,33,0.09
Enes Ünal,Real Valladolid,3,33,0.09
A. Pedraza,Villarreal,3,34,0.09
Cucho,Huesca,3,34,0.09
Sergi Darder,Espanyol,3,34,0.09
D. Suárez,Getafe,3,36,0.08
Sofiane Boufal,Celta,3,35,0.09
Nacho Martínez,Real Valladolid,3,35,0.09
Hugo Mallo,Celta,3,35,0.09
Jorge Pulido,Huesca,3,32,0.09
Ángel,Getafe,3,37,0.08
Borja Iglesias,Espanyol,3,37,0.08
Raúl García,Athletic,3,33,0.09
Q. Promes,Sevilla,3,33,0.09
D. Wass,Valencia,3,32,0.09
D. Juncà,Celta,3,21,0.14
Óscar Rodríguez,Leganés,3,31,0.1
A. Hjulsager,Celta,3,15,0.2
M. Santos,Leganés,3,16,0.19
Luca Sangalli,Real Sociedad,3,18,0.17
Adnan Januzaj,Real Sociedad,3,20,0.15
Manu Morlanes,Villarreal,3,10,0.3
Iñigo Córdoba,Athletic,3,23,0.13
V. Antunes,Getafe,3,28,0.11
Mikel Merino,Real Sociedad,3,29,0.1
G. Bale,Real Madrid,3,29,0.1
Lucas Vázquez,Real Madrid,3,31,0.1
G. Guedes,Valencia,3,25,0.12
S. Longo,Huesca,2,15,0.13
Diego Costa,Atlético de Madrid,2,16,0.13
Antonio Luna,Levante,2,16,0.13
Amath Ndiaye,Getafe,2,15,0.13
Malcom,FC Barcelona,2,15,0.13
S. Cristóforo,Getafe,2,15,0.13
Juanpi,Huesca,2,14,0.14
Sergio Reguilón,Real Madrid,2,14,0.14
Á. Odriozola,Real Madrid,2,14,0.14
Aday Benítez,Girona FC,2,10,0.2
L. Olaza,Celta,2,10,0.2
Brahim Díaz,Real Madrid,2,9,0.22
Javi Galán,Huesca,2,16,0.13
