Player,Team,Assists,Matches Played,Coefficient,Expected Assists (xA)
O. Dembélé,FC Barcelona,13,21,0.62,9.2
K. Benzema,Real Madrid,13,32,0.41,7.4
Jordi Alba,FC Barcelona,10,30,0.33,5.8
Dani Parejo,Villarreal,10,33,0.3,7.6
Iker Muniain,Athletic,10,35,0.29,8.4
Vinícius,Real Madrid,10,35,0.29,7.7
Óscar Trejo,Rayo Vallecano,9,32,0.28,4.5
Sergi Darder,Espanyol,9,36,0.25,3.3
Luka Modrić,Real Madrid,8,28,0.29,5.1
Sergio Canales,Real Betis,8,34,0.24,5.9
Nabil Fekir,Real Betis,8,34,0.24,6.9
Morales,Levante,7,35,0.2,3.8
Jorge De Frutos,Levante,7,25,0.28,3.2
Fidel,Elche,6,33,0.18,4.1
Álex Berenguer,Athletic,6,34,0.18,5.4
Y. Carrasco,Atlético de Madrid,6,34,0.18,6.9
Ivan Rakitić,Sevilla,6,35,0.17,3.3
G. Guedes,Valencia,6,36,0.17,4.8
Rubén García,Osasuna,6,37,0.16,4.2
Ángel Correa,Atlético de Madrid,5,36,0.14,3.7
Denis Suárez,Celta,5,38,0.13,4.6
I. Williams,Athletic,5,38,0.13,4.6
Iago Aspas,Celta,5,37,0.14,5.8
Brais Méndez,Celta,5,37,0.14,3.9
Álvaro García,Rayo Vallecano,5,36,0.14,6.8
Carlos Soler,Valencia,5,32,0.16,4.4
Jorge Molina,Granada,5,35,0.14,3.1
Johan Mojica,Elche,5,33,0.15,4.6
M. Arambarri,Getafe,5,31,0.16,2.7
Boulaye Dia,Villarreal,5,25,0.2,1.5
Thomas Lemar,Atlético de Madrid,5,24,0.21,3.7
Gavi,FC Barcelona,5,34,0.15,4.1
Pablo Maffeo,Mallorca,4,35,0.11,3.2
Juanmi,Real Betis,4,33,0.12,1.3
A. Gorosabel,Real Sociedad,4,32,0.13,3.3
Willian José,Real Betis,4,32,0.13,2.6
Matheus Cunha,Atlético de Madrid,4,29,0.14,1.7
Rubén Duarte,Deportivo Alavés,4,34,0.12,2.6
A. Griezmann,Atlético de Madrid,4,29,0.14,3.1
Lucas Ocampos,Sevilla,4,30,0.13,2.5
Isi Palazón,Rayo Vallecano,4,34,0.12,2.9
Luis Suárez,Granada,4,37,0.11,1.2
Joselu,Deportivo Alavés,4,37,0.11,3.6
Manu Trigueros,Villarreal,4,35,0.11,3.3
Ferran Torres,FC Barcelona,4,18,0.22,2.6
Rodrygo,Real Madrid,4,33,0.12,2.7
Jaume Costa,Mallorca,4,25,0.16,2.7
Tecatito,Sevilla,4,18,0.22,2.9
João Félix,Atlético de Madrid,4,24,0.17,2.6
David Silva,Real Sociedad,4,25,0.16,5.1
José Gayà,Valencia,4,24,0.17,2.5
Oihan Sancet,Athletic,4,27,0.15,2.3
A. Pedraza,Villarreal,4,28,0.14,4.4
G. Gumbau,Elche,4,31,0.13,2.0
Yéremy Pino,Villarreal,4,31,0.13,2.7
Manu Sánchez,Osasuna,3,33,0.09,3.0
Santi Mina,Celta,3,33,0.09,1.7
Luka Jović,Real Madrid,3,15,0.2,0.6
Luis Rioja,Deportivo Alavés,3,37,0.08,4.2
J. Moncayola,Osasuna,3,36,0.08,2.6
Vedat Muriqi,Mallorca,3,16,0.19,1.0
Raúl De Tomás,Espanyol,3,34,0.09,1.8
M. Olivera,Getafe,3,32,0.09,1.9
L. Suárez,Atlético de Madrid,3,35,0.09,1.2
Luis Milla,Granada,3,34,0.09,3.8
F. De Jong,FC Barcelona,3,32,0.09,4.1
D. Alves,FC Barcelona,3,14,0.21,3.1
Franco Cervi,Celta,3,33,0.09,1.4
D. Suárez,Getafe,3,35,0.09,4.6
Dani Rodríguez,Mallorca,3,36,0.08,2.9
Gerard Moreno,Villarreal,3,17,0.18,3.7
Casemiro,Real Madrid,3,32,0.09,2.9
Javi Galán,Celta,3,37,0.08,3.1
Tete Morente,Elche,3,32,0.09,2.5
W. Carvalho,Real Betis,3,33,0.09,1.4
Lucas Pérez,Cádiz,3,33,0.09,4.7
Rubén Rochina,Granada,3,15,0.2,1.0
C. Aleñá,Getafe,3,33,0.09,1.4
Adama Traoré,FC Barcelona,2,11,0.18,1.0
Marcelo,Real Madrid,2,12,0.17,0.8
