Player Name,Team,Assists (ASS),Games Played (GP),Average (APM),Expected Assists (xA)
Lamine Yamal,BAR,11,27,0.41,10.1
L. Milla,GET,9,30,0.3,5.5
Fermin,BAR,8,25,0.32,4.0
Arda Güler,RMA,8,31,0.26,7.2
Olmo,BAR,7,26,0.27,4.9
Pedri,BAR,7,23,0.3,4.5
Valverde,RMA,7,29,0.24,4.6
Rashford,BAR,6,26,0.23,4.1
Edu Expósito,ESP,6,29,0.21,6.4
Giuliano,ATM,6,27,0.22,4.9
Santi C.v.,VIL,5,29,0.17,1.7
Álvaro,RAY,5,31,0.16,2.8
F. De Jong,BAR,5,20,0.25,3.5
L. Rioja,VAL,5,30,0.17,4.1
M. Neto,ELC,5,23,0.22,2.7
Rubén García,OSA,5,28,0.18,4.4
Brahim,RMA,5,23,0.22,2.2
Vini Jr.,RMA,5,30,0.17,4.8
Vargas,SEV,5,17,0.29,1.9
Mikautadze,VIL,5,26,0.19,2.4
Moncayola,OSA,4,29,0.14,3.2
Trent,RMA,4,15,0.27,0.6
Mbappé,RMA,4,26,0.15,6.1
Jan Virgili,MLL,4,24,0.17,2.1
Etta Eyong,LEV,4,27,0.15,1.6
Thiago,OVI,4,10,0.4,2.0
S. Cardona,VIL,3,25,0.12,2.6
Andrei,RAY,3,28,0.11,4.4
Unai Lopez,RAY,3,22,0.14,1.3
Isi,RAY,3,29,0.1,0.3
Hassan,OVI,3,30,0.1,3.0
Kounde,BAR,3,26,0.12,3.3
Raphinha,BAR,3,20,0.15,5.6
Toljan,LEV,3,30,0.1,3.9
Turrientes,RSO,3,21,0.14,0.5
Oyarzabal,RSO,3,27,0.11,3.2
Javi Guerra,VAL,3,29,0.1,2.3
Ugrinic,VAL,3,20,0.15,2.5
Pablo Torre,MLL,3,28,0.11,2.4
Mateo Joseph,MLL,3,29,0.1,0.9
Arnau,GIR,2,28,0.07,7.2
Gueye,VIL,2,25,0.08,2.7
A. Pedraza,VIL,2,23,0.09,2.3
Mouriño,VIL,2,24,0.08,0.4
Pep Chavarria,RAY,2,27,0.07,3.0
Ilyas,OVI,2,29,0.07,1.2
Eric,BAR,2,29,0.07,4.5
Balde,BAR,2,22,0.09,2.0
P. Martínez,LEV,2,20,0.1,2.5
Manu Sánchez,LEV,2,27,0.07,1.2
Sergio Gómez,RSO,2,29,0.07,4.6
Danjuma,VAL,2,28,0.07,3.4
Mascarell,MLL,2,24,0.08,0.3
Brais Méndez,RSO,2,27,0.07,2.6
Blanco,ALA,2,29,0.07,1.5
El Hilali,ESP,2,29,0.07,1.9
C. Romero,ESP,2,29,0.07,2.9
Roberto,ESP,2,31,0.06,1.5
Arambarri,GET,2,30,0.07,0.7
Iglesias,GET,2,30,0.07,1.5
Williams Jr,ATH,2,21,0.1,4.8
Koke,ATM,2,28,0.07,3.7
Álex B.,ATM,2,22,0.09,4.3
Hancko,ATM,2,26,0.08,2.0
Agoumé,SEV,2,27,0.07,1.4
P. Durán,CEL,2,24,0.08,1.5
Hugo Sotelo,CEL,2,17,0.12,2.2
B. Iglesias,CEL,2,28,0.07,1.5
Jutgla,CEL,2,23,0.09,1.2
Moriba,CEL,2,30,0.07,1.7
R.p. Bigas,ELC,2,22,0.09,1.1
Febas,ELC,2,30,0.07,2.7
Lo Celso,BET,2,18,0.11,2.1
Aitor Ruibal,BET,2,25,0.08,1.6
Víctor M.v.,OSA,2,31,0.06,2.7
Catena,OSA,2,29,0.07,3.4
Aimar,OSA,2,24,0.08,2.9
Kike Barja,OSA,2,21,0.1,2.2
Huijsen,RMA,2,23,0.09,1.2
Á. Carreras,RMA,2,25,0.08,1.4
Lemar,GIR,1,21,0.05,1.4
Yeremy,VIL,1,2,0.5,1.0
Buchanan,VIL,1,29,0.03,1.9
Fran Pérez,RAY,1,25,0.04,1.2
De Frutos,RAY,1,29,0.03,2.4
Lejeune,RAY,1,31,0.03,0.4
Gumbau,RAY,1,22,0.05,1.8
F. Viñas,OVI,1,27,0.04,1.8
Luengo,OVI,1,3,0.33,0.0
S. Cazorla,OVI,1,21,0.05,1.7
A. Reina,OVI,1,30,0.03,2.1
Ferran,BAR,1,28,0.04,1.5
M. Casadó,BAR,1,20,0.05,0.6
Gavi,BAR,1,5,0.2,0.2
I. Romero,LEV,1,27,0.04,1.9
Víctor G.,LEV,1,17,0.06,1.0
Dela,LEV,1,27,0.04,0.7
R. Brugué,LEV,1,15,0.07,0.7
C. Alvarez,LEV,1,27,0.04,4.1
Marin,RSO,1,27,0.04,1.2
Isma,GET,1,4,0.25,5.5
Gorosabel,ATH,1,17,0.06,0.9
Navarro,ATH,1,25,0.04,1.5
R. De Galarreta,ATH,1,28,0.04,2.6
Guruzeta,ATH,1,28,0.04,1.8
Areso,ATH,1,24,0.04,1.3
Barrios,ATM,1,21,0.05,2.1
Griezmann,ATM,1,27,0.04,2.4
Raspadori,ATM,1,12,0.08,0.6
Molina,ATM,1,22,0.05,1.3
Almada,ATM,1,22,0.05,2.0
Marc Pubill,ATM,1,13,0.08,0.6
Lenglet,ATM,1,13,0.08,0.4
Ejuke,SEV,1,22,0.05,0.6
Sow,SEV,1,27,0.04,1.1
Peque,SEV,1,22,0.05,2.7
Javi Rguez,CEL,1,26,0.04,0.7
Bryan,CEL,1,19,0.05,2.5
Hugo A.,CEL,1,21,0.05,1.8
Carreira,CEL,1,27,0.04,1.6
Papa,GIR,0,0,0.0,5.6
Blind,GIR,0,28,0.0,1.2
Gibi,GIR,0,0,0.0,0.2
Asprilla,GIR,0,15,0.0,5.5
