Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
17/08/18,Betis,Levante,0,3,A,0,1,A,Ignacio Iglesias,22,6,8,4,10,10,5,3,0,2,0,0,1.66,4.0,5.0,2.538,16.333
17/08/18,Girona,Valladolid,0,0,D,0,0,D,Guillermo Cuadra,13,2,1,1,21,20,3,2,1,1,0,0,1.75,3.6,5.0,3.912,16.208
18/08/18,Barcelona,Alaves,3,0,H,0,0,D,José Sánchez,25,3,9,0,6,13,7,1,0,2,0,0,1.11,10.0,21.0,6.941,31.308
18/08/18,Celta,Espanol,1,1,D,0,1,A,Santiago Jaime,12,14,2,5,13,14,8,7,3,2,0,0,1.85,3.5,4.5,9.038,10.6
18/08/18,Villarreal,Sociedad,1,2,A,1,1,D,Mario Melero,16,8,7,4,16,10,4,6,2,3,0,0,2.04,3.4,3.8,9.143,11.158
19/08/18,Eibar,Huesca,1,2,A,0,2,A,Eduardo Prieto,18,8,6,6,12,13,7,0,1,1,0,0,1.66,3.75,5.5,5.167,12.682
19/08/18,Real Madrid,Getafe,2,0,H,1,0,H,Daniel Ask,10,4,3,1,11,27,3,0,1,7,0,0,1.2,7.0,13.0,4.148,13.475
19/08/18,Vallecano,Sevilla,1,4,A,0,3,A,Antonio Matéu Lahoz,13,17,2,8,6,15,2,6,1,0,0,0,3.25,3.6,2.14,13.15,13.263
20/08/18,Ath Bilbao,Leganes,2,1,H,1,1,D,Adrián Cordero,17,12,5,2,12,13,6,2,4,5,0,0,1.75,3.3,5.5,5.913,20.938
20/08/18,Valencia,Ath Madrid,1,1,D,0,1,A,Jesús Gil,13,9,4,3,10,15,4,10,2,3,0,0,3.0,3.2,2.5,10.619,11.783
24/08/18,Getafe,Eibar,2,0,H,1,0,H,David Medié,7,9,4,0,14,11,5,5,2,1,0,0,1.95,3.2,4.33,6.84,2.414
24/08/18,Leganes,Sociedad,2,2,D,0,2,A,José Luis Munuera,18,7,5,6,12,9,5,0,1,2,0,0,3.5,3.3,2.1,6.381,20.765
25/08/18,Alaves,Betis,0,0,D,0,0,D,Pablo González,16,13,4,5,17,15,5,6,3,1,0,0,2.8,3.25,2.6,11.241,5.364
25/08/18,Ath Madrid,Vallecano,1,0,H,0,0,D,José González,9,13,2,3,7,8,8,5,1,1,0,0,1.16,7.0,21.0,8.903,11.45
25/08/18,Valladolid,Barcelona,0,1,A,0,0,D,Ricardo de Burgos,7,10,4,5,13,11,6,10,1,1,0,0,17.0,7.5,1.16,21.067,10.188
26/08/18,Espanol,Valencia,2,0,H,0,0,D,Carlos del Cerro,19,16,9,4,16,12,6,10,1,1,0,0,3.25,3.2,2.37,8.517,8.645
26/08/18,Girona,Real Madrid,1,4,A,1,1,D,Juan Martínez,10,20,5,8,13,11,4,7,2,3,0,0,8.0,5.5,1.36,30.786,13.25
26/08/18,Sevilla,Villarreal,0,0,D,0,0,D,Alberto Undiano,19,14,2,6,13,14,4,5,3,2,0,0,1.72,4.2,4.33,16.375,9.115
27/08/18,Ath Bilbao,Huesca,2,2,D,0,0,D,Hsu Jason,14,9,4,4,17,17,3,2,2,2,0,0,1.61,3.6,6.5,5.229,13.8
27/08/18,Levante,Celta,1,2,A,0,2,A,Alejandro Hernández,15,21,6,9,14,8,7,7,2,3,0,0,2.4,3.25,3.0,8.519,11.0
31/08/18,Eibar,Sociedad,2,1,H,1,1,D,José Sánchez,8,7,2,2,18,15,4,2,3,2,0,0,2.75,3.25,2.62,4.774,7.55
31/08/18,Getafe,Valladolid,0,0,D,0,0,D,Adrián Cordero,12,7,3,4,22,14,6,7,3,1,0,0,1.9,3.2,4.75,4.541,7.458
31/08/18,Villarreal,Girona,0,1,A,0,0,D,Eduardo Prieto,13,14,3,6,15,11,7,2,3,2,0,0,1.57,4.0,6.0,5.393,20.857
01/09/18,Celta,Ath Madrid,2,0,H,0,0,D,Antonio Matéu Lahoz,10,9,4,0,12,14,2,8,4,5,0,1,5.5,3.4,1.75,15.75,11.115
01/09/18,Real Madrid,Leganes,4,1,H,1,1,D,Santiago Jaime,17,8,8,3,11,11,8,1,1,1,0,0,1.12,9.0,21.0,5.87,29.111
02/09/18,Alaves,Espanol,2,1,H,0,1,A,Ignacio Iglesias,8,11,5,7,19,13,0,12,4,3,0,0,2.9,3.1,2.54,10.222,6.522
02/09/18,Barcelona,Huesca,8,2,H,3,2,H,Mario Melero,31,7,15,3,6,12,9,4,1,2,0,0,1.08,11.0,29.0,9.15,31.8
02/09/18,Betis,Sevilla,1,0,H,0,0,D,Jesús Gil,11,8,3,2,15,17,5,8,3,6,0,1,2.8,3.5,2.45,7.095,12.12
02/09/18,Levante,Valencia,2,2,D,2,1,H,Daniel Ask,13,18,4,5,14,10,3,5,4,2,1,0,3.75,3.4,2.0,10.409,9.421
14/09/18,Huesca,Vallecano,0,1,A,0,1,A,David Medié,14,14,4,2,16,18,6,3,2,1,0,0,2.14,3.5,3.4,7.0,9.417
15/09/18,Ath Bilbao,Real Madrid,1,1,D,1,0,H,José González,11,16,3,6,18,6,1,2,6,2,0,0,6.0,4.33,1.53,12.172,13.778
15/09/18,Ath Madrid,Eibar,1,1,D,0,0,D,Juan Martínez,18,12,9,3,5,21,14,3,2,2,0,0,1.36,4.33,12.0,10.333,6.791
15/09/18,Sociedad,Barcelona,1,2,A,1,0,H,Carlos del Cerro,8,12,5,6,18,8,1,6,1,1,0,0,7.0,5.25,1.4,12.0,9.909
15/09/18,Valencia,Betis,0,0,D,0,0,D,Alejandro Hernández,12,11,2,6,22,9,5,4,6,3,0,0,1.75,3.75,4.75,14.032,6.75
16/09/18,Espanol,Levante,1,0,H,0,0,D,Alberto Undiano,22,16,9,4,17,13,5,4,1,2,0,0,1.72,3.6,5.25,8.0,9.783
16/09/18,Leganes,Villarreal,0,1,A,0,0,D,Pablo González,16,9,3,3,16,9,6,1,4,3,0,0,3.0,3.1,2.54,12.55,25.25
16/09/18,Sevilla,Getafe,0,2,A,0,2,A,Ricardo de Burgos,15,10,1,5,10,22,7,1,3,6,0,0,1.55,4.0,7.0,4.115,13.409
16/09/18,Valladolid,Alaves,0,1,A,0,0,D,José Luis Munuera,15,10,5,4,9,12,7,2,3,2,0,0,2.2,3.1,3.6,12.6,19.867
17/09/18,Girona,Celta,3,2,H,2,1,H,Hsu Jason,11,20,6,7,15,11,3,1,1,3,0,1,2.4,3.3,3.0,16.0,8.45
21/09/18,Huesca,Sociedad,0,1,A,0,0,D,Ignacio Iglesias,13,7,3,1,16,12,7,5,5,3,0,2,3.6,3.4,2.1,12.1,8.818
22/09/18,Celta,Valladolid,3,3,D,2,1,H,Eduardo Prieto,12,14,5,4,9,11,7,8,2,2,0,0,1.75,3.5,5.25,11.182,9.63
22/09/18,Eibar,Leganes,1,0,H,0,0,D,Mario Melero,14,4,3,2,16,17,5,2,1,1,0,0,2.04,3.2,4.0,8.353,8.0
22/09/18,Getafe,Ath Madrid,0,2,A,0,1,A,José Sánchez,11,7,2,4,12,15,1,5,1,2,1,0,5.0,3.3,1.8,9.441,9.722
22/09/18,Real Madrid,Espanol,1,0,H,1,0,H,Antonio Matéu Lahoz,19,10,5,3,5,16,8,3,2,2,0,0,1.18,7.0,15.0,8.269,18.056
22/09/18,Vallecano,Alaves,1,5,A,1,2,A,Adrián Cordero,13,11,4,7,14,12,8,4,1,2,1,0,2.04,3.4,3.6,12.222,9.083
23/09/18,Barcelona,Girona,2,2,D,1,1,D,Jesús Gil,22,7,11,6,9,16,8,2,3,5,1,0,1.08,11.0,21.0,10.714,25.467
23/09/18,Betis,Ath Bilbao,2,2,D,0,2,A,Daniel Ask,15,7,3,4,13,20,6,1,2,7,0,1,2.14,3.3,3.6,8.4,11.037
23/09/18,Levante,Sevilla,2,6,A,1,4,A,Guillermo Cuadra,19,20,10,9,5,18,8,4,1,1,0,0,3.5,3.6,2.04,17.8,10.217
23/09/18,Villarreal,Valencia,0,0,D,0,0,D,Santiago Jaime,11,12,1,2,12,12,8,6,4,1,0,1,2.25,3.25,3.3,10.56,12.909
25/09/18,Ath Madrid,Huesca,3,0,H,3,0,H,Pablo González,17,8,5,1,1,14,4,3,0,2,0,0,1.22,6.0,15.0,16.5,17.227
25/09/18,Espanol,Eibar,1,0,H,0,0,D,José Luis Munuera,9,8,5,1,8,8,4,3,2,2,0,0,1.9,3.3,4.5,9.731,15.75
25/09/18,Sociedad,Vallecano,2,2,D,1,2,A,Juan Martínez,16,11,6,6,12,18,8,5,4,3,0,0,1.61,4.0,5.5,5.25,12.609
26/09/18,Ath Bilbao,Villarreal,0,3,A,0,0,D,Carlos del Cerro,12,19,2,6,3,14,6,4,1,1,0,0,2.25,3.3,3.3,8.6,18.684
26/09/18,Leganes,Barcelona,2,1,H,0,1,A,Alberto Undiano,10,9,6,5,15,11,4,5,4,2,0,0,12.0,6.0,1.25,18.333,4.5
26/09/18,Sevilla,Real Madrid,3,0,H,3,0,H,Alejandro Hernández,16,21,7,3,16,12,5,6,3,4,0,0,4.33,4.2,1.72,17.647,12.294
26/09/18,Valencia,Celta,1,1,D,1,0,H,Ricardo de Burgos,14,9,5,3,18,7,0,2,1,3,0,0,1.66,4.0,4.75,14.31,12.067
27/09/18,Alaves,Getafe,1,1,D,0,0,D,Eduardo Prieto,15,13,2,5,8,22,5,7,4,2,0,0,2.8,3.0,2.75,6.143,3.2
27/09/18,Girona,Betis,0,1,A,0,0,D,José González,8,14,2,6,17,14,5,1,1,3,0,0,2.5,3.3,2.87,11.0,6.615
27/09/18,Valladolid,Levante,2,1,H,0,0,D,David Medié,20,9,6,4,17,10,8,6,1,4,0,1,2.04,3.5,3.6,3.576,11.65
28/09/18,Vallecano,Espanol,2,2,D,1,2,A,Hsu Jason,11,12,5,5,13,16,5,3,3,3,0,0,2.8,3.3,2.6,9.87,10.231
29/09/18,Barcelona,Ath Bilbao,1,1,D,0,1,A,Santiago Jaime,20,8,8,2,9,18,4,3,3,3,0,0,1.16,7.5,17.0,5.08,14.28
29/09/18,Eibar,Sevilla,1,3,A,0,0,D,Daniel Ask,15,7,2,5,16,9,6,3,2,3,0,0,3.3,3.4,2.2,4.676,23.909
29/09/18,Real Madrid,Ath Madrid,0,0,D,0,0,D,Juan Martínez,15,8,6,3,7,17,8,6,3,4,0,0,2.0,3.5,3.75,8.7,15.409
29/09/18,Sociedad,Valencia,0,1,A,0,1,A,Jesús Gil,10,9,5,2,13,18,3,0,3,5,0,0,2.2,3.4,3.2,9.708,11.222
30/09/18,Betis,Leganes,1,0,H,0,0,D,José Sánchez,17,11,4,5,7,10,7,1,0,4,0,0,1.64,3.8,5.5,4.118,22.556
30/09/18,Huesca,Girona,1,1,D,0,1,A,Adrián Cordero,13,14,6,4,14,14,5,5,4,2,0,0,2.5,3.3,2.9,7.176,10.333
30/09/18,Levante,Alaves,2,1,H,2,1,H,Mario Melero,14,14,4,2,22,19,9,4,7,1,0,0,2.14,3.5,3.3,5.462,5.12
30/09/18,Villarreal,Valladolid,0,1,A,0,0,D,Ignacio Iglesias,27,9,7,3,17,12,7,2,3,3,0,0,1.53,4.0,6.5,6.966,22.077
01/10/18,Celta,Getafe,1,1,D,1,0,H,Guillermo Cuadra,8,12,2,4,13,15,3,9,2,2,0,0,2.0,3.5,3.8,8.812,8.259
05/10/18,Ath Bilbao,Sociedad,1,3,A,1,1,D,Alejandro Hernández,13,6,5,3,15,19,11,0,6,5,0,0,2.04,3.4,3.8,5.739,11.958
06/10/18,Alaves,Real Madrid,1,0,H,0,0,D,Santiago Jaime,8,13,4,6,20,10,4,3,1,0,0,0,9.0,4.75,1.36,17.478,8.667
06/10/18,Getafe,Levante,0,1,A,0,0,D,José Luis Munuera,15,12,4,3,17,18,10,2,4,5,1,0,1.72,3.6,5.25,5.138,6.08
06/10/18,Girona,Eibar,2,3,A,2,2,D,Eduardo Prieto,10,12,3,4,9,17,4,9,3,6,0,0,2.1,3.2,3.8,8.5,6.926
06/10/18,Leganes,Vallecano,1,0,H,1,0,H,David Medié,13,6,4,2,12,12,6,4,1,4,0,1,2.0,3.3,4.0,13.714,7.4
07/10/18,Ath Madrid,Betis,1,0,H,0,0,D,Alberto Undiano,13,5,5,0,16,10,6,4,5,3,0,0,1.44,4.0,9.0,12.031,13.0
07/10/18,Espanol,Villarreal,3,1,H,1,1,D,Ricardo de Burgos,28,13,12,6,13,8,10,3,3,2,0,0,2.25,3.2,3.4,7.233,14.7
07/10/18,Sevilla,Celta,2,1,H,1,0,H,Pablo González,12,13,3,5,14,9,8,8,3,4,0,1,1.53,4.33,6.0,11.0,12.238
07/10/18,Valencia,Barcelona,1,1,D,1,1,D,José González,10,10,3,5,11,6,5,2,2,2,0,0,4.75,4.2,1.64,24.706,9.824
07/10/18,Valladolid,Huesca,1,0,H,1,0,H,Antonio Matéu Lahoz,9,11,3,1,9,13,6,2,1,2,0,0,1.9,3.5,4.2,15.765,10.316
19/10/18,Celta,Alaves,0,1,A,0,0,D,Carlos del Cerro,19,9,9,2,9,12,6,2,2,3,0,0,1.66,4.0,5.0,9.45,17.737
20/10/18,Barcelona,Sevilla,4,2,H,2,0,H,Juan Martínez,23,19,9,7,10,16,5,7,0,1,0,0,1.33,6.0,7.5,10.714,10.321
20/10/18,Real Madrid,Levante,1,2,A,0,2,A,Guillermo Cuadra,34,6,12,2,10,19,15,1,1,2,0,0,1.14,8.5,19.0,4.543,12.0
