Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
15/08/2025,Girona,Vallecano,1,3,A,0,3,A,Javier Alberola,7,16,2,5,8,17,2,4,0,1,1,0,2.25,3.25,3.3
15/08/2025,Villarreal,Oviedo,2,0,H,2,0,H,Alejandro Muñíz,25,5,10,4,10,8,10,1,1,2,0,1,1.4,4.75,8.0
16/08/2025,Mallorca,Barcelona,0,3,A,0,2,A,José Luis Munuera,4,24,1,8,8,17,3,6,4,1,2,0,7.0,5.0,1.4
16/08/2025,Alaves,Levante,2,1,H,1,0,H,Miguel Sesma,15,7,4,3,15,13,10,1,0,1,0,0,2.15,3.0,3.8
16/08/2025,Valencia,Sociedad,1,1,D,0,0,D,Jose Maria Sánchez,18,13,2,3,5,11,8,7,1,2,0,0,2.6,2.9,3.1
17/08/2025,Celta,Getafe,0,2,A,0,0,D,Iosu Galech,11,10,3,3,15,17,9,3,3,2,0,0,1.73,3.5,5.25
17/08/2025,Ath Bilbao,Sevilla,3,2,H,2,0,H,Francisco Hernández,14,12,3,6,8,12,10,1,0,2,0,0,1.57,3.9,6.0
17/08/2025,Espanol,Ath Madrid,2,1,H,0,1,A,Mateo Busquets,10,15,5,4,14,11,1,3,3,3,0,0,6.0,3.9,1.57
18/08/2025,Elche,Betis,1,1,D,0,1,A,Víctor García,6,12,2,4,14,13,1,3,0,1,0,0,3.4,3.3,2.2
19/08/2025,Real Madrid,Osasuna,1,0,H,0,0,D,Adrián Cordero,18,2,5,0,10,12,7,0,1,0,0,1,1.22,6.25,13.0
22/08/2025,Betis,Alaves,1,0,H,1,0,H,Miguel Ángel Ortiz Arias,16,11,5,5,10,17,5,2,2,3,0,0,1.91,3.4,4.2
23/08/2025,Mallorca,Celta,1,1,D,0,1,A,José Guzmán,12,8,4,2,12,12,3,4,3,3,0,0,3.0,3.1,2.55
23/08/2025,Ath Madrid,Elche,1,1,D,1,1,D,César Soto,13,6,6,2,14,7,10,2,0,3,0,0,1.25,5.25,15.0
23/08/2025,Levante,Barcelona,2,3,A,2,0,H,Alejandro Hernández,8,26,5,10,10,8,0,11,3,1,0,0,11.0,6.0,1.25
24/08/2025,Osasuna,Valencia,1,0,H,1,0,H,Jesús Gil,16,4,4,1,14,13,3,4,2,1,0,1,2.4,3.2,3.1
24/08/2025,Sociedad,Espanol,2,2,D,0,2,A,Alejandro Quintero,15,14,7,3,16,18,5,2,2,2,0,0,1.8,3.4,5.0
24/08/2025,Villarreal,Girona,5,0,H,4,0,H,Guillermo Cuadra,19,5,7,2,8,9,8,1,1,2,0,0,1.53,4.33,6.0
24/08/2025,Oviedo,Real Madrid,0,3,A,0,1,A,Ricardo de Burgos,6,26,3,10,8,7,1,9,2,1,0,0,9.5,5.5,1.3
25/08/2025,Ath Bilbao,Vallecano,1,0,H,0,0,D,Juan Martínez,11,6,4,1,13,13,3,6,0,4,0,0,1.7,3.5,5.5
25/08/2025,Sevilla,Getafe,1,2,A,1,1,D,Isidro Díaz de Mera,12,9,3,6,10,24,5,3,2,2,0,0,2.25,3.0,3.6
27/08/2025,Celta,Betis,1,1,D,0,1,A,Jesús Gil,14,7,5,2,13,11,10,4,1,2,0,0,2.2,3.4,3.25
29/08/2025,Elche,Levante,2,0,H,0,0,D,Iosu Galech,16,11,5,1,14,17,4,2,1,2,0,0,2.15,3.25,3.5
29/08/2025,Valencia,Getafe,3,0,H,1,0,H,Francisco Hernández,7,11,4,1,18,7,8,6,2,0,0,0,2.3,2.9,3.6
30/08/2025,Alaves,Ath Madrid,1,1,D,1,1,D,Víctor García,5,15,2,6,10,17,1,6,2,3,0,0,4.75,3.5,1.8
30/08/2025,Oviedo,Sociedad,1,0,H,1,0,H,Adrián Cordero,8,18,1,6,7,18,1,10,2,1,0,0,3.5,3.1,2.25
30/08/2025,Girona,Sevilla,0,2,A,0,1,A,Miguel Ángel Ortiz Arias,20,13,5,4,5,14,11,3,0,2,0,0,2.4,3.3,3.0
30/08/2025,Real Madrid,Mallorca,2,1,H,2,1,H,Jose Maria Sánchez,17,9,7,5,12,7,4,5,2,0,0,0,1.18,7.0,15.0
31/08/2025,Celta,Villarreal,1,1,D,0,0,D,Alejandro Quintero,10,8,2,3,11,8,1,5,1,1,0,0,2.75,3.5,2.5
31/08/2025,Betis,Ath Bilbao,1,2,A,0,0,D,Isidro Díaz de Mera,9,15,2,6,9,16,4,10,1,4,0,1,3.0,3.1,2.55
31/08/2025,Espanol,Osasuna,1,0,H,0,0,D,Miguel Sesma,10,10,4,3,13,14,2,3,2,3,0,0,2.38,3.2,3.1
31/08/2025,Vallecano,Barcelona,1,1,D,0,1,A,Mateo Busquets,12,12,6,3,16,8,9,4,4,1,0,0,6.25,5.5,1.4
12/09/2025,Sevilla,Elche,2,2,D,1,0,H,Javier Alberola,7,5,3,2,23,19,2,2,4,3,0,0,1.85,3.4,4.5
13/09/2025,Getafe,Oviedo,2,0,H,2,0,H,José Guzmán,10,5,3,1,12,18,4,3,2,5,0,1,1.95,3.1,4.5
13/09/2025,Sociedad,Real Madrid,1,2,A,0,2,A,Jesús Gil,23,16,4,6,17,7,12,4,2,1,0,1,5.0,4.33,1.6
13/09/2025,Ath Bilbao,Alaves,0,1,A,0,0,D,Jose Maria Sánchez,12,4,3,2,17,21,6,6,4,3,0,0,1.6,3.9,5.75
13/09/2025,Ath Madrid,Villarreal,2,0,H,1,0,H,José Luis Munuera,8,8,3,1,12,15,8,3,2,4,0,0,1.8,3.7,4.33
14/09/2025,Celta,Girona,1,1,D,0,1,A,Adrián Cordero,21,13,7,8,7,9,10,3,0,3,0,0,1.73,3.9,4.75
14/09/2025,Levante,Betis,2,2,D,2,1,H,Alejandro Muñíz,5,28,2,9,16,11,4,12,3,2,0,0,3.25,3.25,2.3
14/09/2025,Osasuna,Vallecano,2,0,H,1,0,H,César Soto,9,19,7,6,13,7,3,6,3,2,0,0,2.55,3.2,2.9
14/09/2025,Barcelona,Valencia,6,0,H,1,0,H,Guillermo Cuadra,24,2,10,1,9,8,5,4,0,1,0,0,1.22,7.0,11.0
15/09/2025,Espanol,Mallorca,3,2,H,2,1,H,Alejandro Hernández,9,24,3,10,9,16,3,9,2,1,1,0,2.1,3.4,3.5
19/09/2025,Betis,Sociedad,3,1,H,1,1,D,Mateo Busquets,21,11,6,5,7,20,3,5,3,7,0,0,1.91,3.6,3.75
20/09/2025,Girona,Levante,0,4,A,0,1,A,Alejandro Quintero,7,14,1,7,11,17,5,4,4,3,2,0,1.91,3.6,4.0
20/09/2025,Real Madrid,Espanol,2,0,H,1,0,H,Juan Martínez,16,8,5,1,10,20,5,3,2,0,0,0,1.2,7.0,13.0
20/09/2025,Alaves,Sevilla,1,2,A,1,1,D,Iosu Galech,8,9,5,3,20,19,4,4,1,7,0,0,2.25,3.1,3.5
20/09/2025,Villarreal,Osasuna,2,1,H,0,1,A,Isidro Díaz de Mera,26,6,8,3,10,11,7,0,2,3,0,1,1.55,4.33,5.5
20/09/2025,Valencia,Ath Bilbao,2,0,H,0,0,D,Miguel Ángel Ortiz Arias,13,11,5,5,13,6,5,6,1,1,0,1,3.0,3.0,2.55
21/09/2025,Vallecano,Celta,1,1,D,0,0,D,Víctor García,15,9,5,5,8,10,5,7,1,1,0,0,2.3,3.3,3.2
21/09/2025,Mallorca,Ath Madrid,1,1,D,0,0,D,Francisco Hernández,8,12,3,7,14,6,3,6,0,0,0,1,5.0,3.6,1.75
21/09/2025,Elche,Oviedo,1,0,H,1,0,H,Miguel Sesma,15,12,5,4,9,18,3,3,2,2,0,0,1.91,3.2,4.5
21/09/2025,Barcelona,Getafe,3,0,H,2,0,H,Ricardo de Burgos,16,3,7,2,9,15,3,2,2,4,0,0,1.22,6.5,12.0
23/09/2025,Ath Bilbao,Girona,1,1,D,0,1,A,José Luis Munuera,17,6,5,3,19,15,8,1,0,2,0,0,1.45,4.33,7.0
23/09/2025,Espanol,Valencia,2,2,D,0,1,A,José Guzmán,21,5,10,2,9,9,8,3,1,4,0,0,2.25,3.1,3.4
23/09/2025,Levante,Real Madrid,1,4,A,0,2,A,Isidro Díaz de Mera,11,24,2,10,17,9,1,7,1,1,0,0,7.5,5.75,1.33
23/09/2025,Sevilla,Villarreal,1,2,A,0,1,A,César Soto,16,12,2,5,17,14,3,3,2,3,0,0,3.1,3.4,2.3
24/09/2025,Getafe,Alaves,1,1,D,0,0,D,Alejandro Quintero,7,10,1,4,14,20,2,7,2,3,0,0,2.3,2.9,3.6
24/09/2025,Ath Madrid,Vallecano,3,2,H,1,1,D,Alejandro Hernández,20,9,8,3,6,12,8,6,3,4,0,0,1.5,4.5,6.0
24/09/2025,Sociedad,Mallorca,1,0,H,0,0,D,Iosu Galech,17,7,4,3,13,15,11,2,2,2,0,0,1.8,3.4,4.75
25/09/2025,Osasuna,Elche,1,1,D,1,0,H,Adrián Cordero,9,12,2,4,19,13,2,3,2,2,0,0,1.95,3.25,4.33
25/09/2025,Oviedo,Barcelona,1,3,A,1,0,H,Miguel Ángel Ortiz Arias,7,22,3,10,10,6,6,9,1,0,0,0,10.0,5.75,1.25
