Player,Team,Goals,Matches Played,Coefficient
L. Messi,FC Barcelona,34,36,0.94
C. Ronaldo,Real Madrid,26,27,0.96
L. Suárez,FC Barcelona,25,33,0.76
Iago Aspas,Celta,22,34,0.65
C. Stuani,Girona FC,21,33,0.64
A. Griezmann,Atlético de Madrid,19,32,0.59
Maxi Gómez,Celta,17,36,0.47
G. Bale,Real Madrid,16,26,0.62
Rodrigo Moreno,Valencia,16,37,0.43
Gerard Moreno,Espanyol,16,38,0.42
Willian José,Real Sociedad,15,34,0.44
C. Bacca,Villarreal,15,35,0.43
S. Zaza,Valencia,13,33,0.39
Ángel,Getafe,13,33,0.39
Santi Mina,Valencia,12,32,0.38
M. Oyarzabal,Real Sociedad,12,35,0.34
Sergio León,Real Betis,11,31,0.35
Portu,Girona FC,11,37,0.3
Munir,Deportivo Alavés,10,33,0.3
Raúl García,Athletic,10,34,0.29
Morales,Levante,10,35,0.29
J. Calleri,UD Las Palmas,9,37,0.24
Paulinho,FC Barcelona,9,34,0.26
A. Aduriz,Athletic,9,33,0.27
Adrián,RC Deportivo,9,30,0.3
E. Bardhi,Levante,9,26,0.35
C. Bakambu,Villarreal,9,15,0.6
W. Ben Yedder,Sevilla,9,25,0.36
A. Sanabria,Real Betis,8,17,0.47
L. Rémy,Getafe,8,23,0.35
Charles,Eibar,8,30,0.27
Juanmi,Real Sociedad,8,30,0.27
Lucas Pérez,RC Deportivo,8,35,0.23
Kike García,Eibar,8,35,0.23
Léo Baptistão,Espanyol,8,36,0.22
Ángel Correa,Atlético de Madrid,8,37,0.22
Ibai Gómez,Deportivo Alavés,7,34,0.21
I. Williams,Athletic,7,38,0.18
A. Illarramendi,Real Sociedad,7,36,0.19
Jorge Molina,Getafe,7,36,0.19
Dani Parejo,Valencia,7,34,0.21
Loren Morón,Real Betis,7,15,0.47
Isco,Real Madrid,7,30,0.23
Florin Andone,RC Deportivo,7,29,0.24
Kévin Gameiro,Atlético de Madrid,7,25,0.28
P. Coutinho,FC Barcelona,7,18,0.39
Joan Jordán,Eibar,6,35,0.17
Pablo Sarabia,Sevilla,6,34,0.18
M. Asensio,Real Madrid,6,32,0.19
Enes Ünal,Villarreal,6,30,0.2
E. Boateng,Levante,6,25,0.24
Samu Castillejo,Villarreal,6,30,0.2
Casemiro,Real Madrid,5,30,0.17
Juanpe,Girona FC,5,35,0.14
T. Inui,Eibar,5,34,0.15
G. Guedes,Valencia,5,33,0.15
K. Benzema,Real Madrid,5,32,0.16
P. Sisto,Celta,5,34,0.15
G. Pires,Leganés,5,29,0.17
Toni Kroos,Real Madrid,5,27,0.19
Fernando Torres,Atlético de Madrid,5,27,0.19
D. Rolan,Málaga,5,26,0.19
N. Sansone,Villarreal,5,18,0.28
F. Vázquez,Sevilla,4,30,0.13
Sergio Canales,Real Sociedad,4,36,0.11
Koke,Atlético de Madrid,4,35,0.11
D. Wass,Celta,4,35,0.11
Joaquín,Real Betis,4,35,0.11
Javier Eraso,Leganés,4,34,0.12
Lucas Vázquez,Real Madrid,4,33,0.12
Cristian Tello,Real Betis,4,32,0.13
Nolito,Sevilla,4,30,0.13
G. Kondogbia,Valencia,4,31,0.13
Ivi López,Levante,4,29,0.14
M. Guerrero,Leganés,4,22,0.18
Sergio Ramos,Real Madrid,4,26,0.15
P. Alcácer,FC Barcelona,4,17,0.24
M. Bergara,Getafe,4,18,0.22
Iker Muniain,Athletic,4,14,0.29
Jonathan Viera,UD Las Palmas,4,23,0.17
Y. En-Nesyri,Málaga,4,25,0.16
Chory Castro,Málaga,4,26,0.15
Borja Valle,RC Deportivo,3,17,0.18
Diego Llorente,Real Sociedad,3,27,0.11
Xabi Prieto,Real Sociedad,3,26,0.12
J. Guidetti,Deportivo Alavés,3,25,0.12
A. Elustondo,Real Sociedad,3,19,0.16
Sergi Enrich,Eibar,3,19,0.16
Coke Andújar,Levante,3,17,0.18
F. Orellana,Eibar,3,17,0.18
I. Ramis,Eibar,3,16,0.19
O. Dembélé,FC Barcelona,3,17,0.18
Roger Martí,Levante,3,17,0.18
Y. Carrasco,Atlético de Madrid,3,17,0.18
Diego Costa,Atlético de Madrid,3,15,0.2
Z. Feddal,Real Betis,3,15,0.2
M. Olunga,Girona FC,3,14,0.21
B. Mayoral,Real Madrid,3,14,0.21
Nacho,Real Madrid,3,27,0.11
