Player Name,Team,Goals Scored (GS),Games Played (GP),Average (OG)
Mbappé,RMA,23,26,0.88
Muriqi,MLL,19,29,0.66
Budimir,OSA,15,29,0.52
Lamine Yamal,BAR,14,26,0.54
Ferran,BAR,12,27,0.44
Oyarzabal,RSO,12,27,0.44
Lewandowski,BAR,12,25,0.48
Raphinha,BAR,11,20,0.55
Borja,CEL,11,27,0.41
Vini Jr.,RMA,11,30,0.37
De Frutos,RAY,10,28,0.36
Sørloth,ATM,10,29,0.34
Lucas Boyé,ALA,10,24,0.42
A. Moleiro,VIL,9,29,0.31
Hugo Duro,VAL,9,29,0.31
Mikautadze,VIL,9,25,0.36
Vanat,GIR,9,27,0.33
Gerard,VIL,8,16,0.5
Guedes,RSO,8,30,0.27
T. Martínez,ALA,8,29,0.28
Guedes,RSO,8,31,0.26
T. Martínez,ALA,8,30,0.27
J.alvarez,ATM,8,29,0.28
Akor,SEV,8,26,0.31
Rafa Mir,ELC,8,26,0.31
C. Hernández,BET,8,26,0.31
Olmo,BAR,7,26,0.27
Guruzeta,ATH,7,28,0.25
Jutgla,CEL,7,23,0.3
André Da Silva,ELC,7,24,0.29
P. Fornals,BET,7,31,0.23
Antony,BET,7,26,0.27
Buchanan,VIL,6,29,0.21
Rashford,BAR,6,26,0.23
Brais Méndez,RSO,6,27,0.22
Roberto,ESP,6,31,0.19
Pere Milla,ESP,6,27,0.22
Kike G.,ESP,6,30,0.2
Arambarri,GET,6,30,0.2
Griezmann,ATM,6,27,0.22
Tsygankov,GIR,5,25,0.2
Pepe,VIL,5,29,0.17
Rashford,BAR,5,25,0.2
Fermin,BAR,5,24,0.21
I. Romero,LEV,5,26,0.19
Carlos V.,ALA,5,21,0.24
C. Romero,ESP,5,28,0.18
Navarro,ATH,5,24,0.21
Sow,SEV,5,26,0.19
Álvaro,ELC,5,26,0.19
Víctor M.v.,OSA,5,30,0.17
Raúl,OSA,5,28,0.18
Valverde,RMA,5,29,0.17
Ramazani,VAL,5,19,0.26
Samu,MLL,5,27,0.19
Ez Abde,BET,5,21,0.24
Gueye,VIL,4,24,0.17
Álvaro,RAY,4,30,0.13
Ilyas,OVI,4,28,0.14
Oskarsson,RSO,4,13,0.31
Williams Jr,ATH,4,20,0.2
Giuliano,ATM,4,27,0.15
Isaac,SEV,4,22,0.18
Iago,CEL,4,24,0.17
Williot,CEL,4,22,0.18
Germán V.,ELC,4,29,0.14
Aitor Ruibal,BET,4,24,0.17
Arda Güler,RMA,4,31,0.13
Gonzalo,RMA,4,24,0.17
B. Mayoral,GET,4,14,0.29
C.soler,RSO,4,25,0.16
Ounahi,GIR,4,17,0.24
Bellingham,RMA,4,21,0.19
Satriano,GET,4,11,0.36
Lemar,GIR,3,21,0.14
Santi C.v.,VIL,3,28,0.11
Isi,RAY,3,29,0.1
A. Reina,OVI,3,29,0.1
R. Araujo,BAR,3,19,0.16
C. Alvarez,LEV,3,26,0.12
Diego López,VAL,3,26,0.12
Danjuma,VAL,3,27,0.11
Pablo Torre,MLL,3,27,0.11
Cabrera,ESP,3,29,0.1
Liso,GET,3,24,0.13
Almada,ATM,3,21,0.14
Hugo A.,CEL,3,21,0.14
Bakambu,BET,3,15,0.2
Iker,LEV,3,18,0.17
Stuani,GIR,3,13,0.23
Vargas,SEV,3,16,0.19
O. Sancet,ATH,3,23,0.13
Alexis,SEV,3,21,0.14
Nico,ATM,3,22,0.14
Vazquez,GET,3,10,0.3
Joel Roca,GIR,2,25,0.08
Lemar,GIR,2,20,0.1
Fran Pérez,RAY,2,25,0.08
Pacha,RAY,2,23,0.09
Pathé I. Ciss,RAY,2,21,0.1
Pedri,BAR,2,21,0.1
Dela,LEV,2,25,0.08
Take,RSO,2,18,0.11
Sucic,RSO,2,14,0.14
Cömert,VAL,2,12,0.17
Pepelu,VAL,2,23,0.09
L. Rioja,VAL,2,28,0.07
Mateo Joseph,MLL,2,28,0.07
Puado,ESP,2,10,0.2
Mario Martín,GET,2,27,0.07
Berenguer,ATH,2,24,0.08
Williams,ATH,2,21,0.1
Jaureguizar,ATH,2,28,0.07
Koke,ATM,2,27,0.07
Álex B.,ATM,2,20,0.1
Molina,ATM,2,21,0.1
Gallagher,ATM,2,19,0.11
Peque,SEV,2,21,0.1
P. Durán,CEL,2,22,0.09
Javi Rueda,CEL,2,20,0.1
Pablo,CEL,2,23,0.09
Javier,CEL,2,20,0.1
Jones,CEL,2,20,0.1
Sergio,CEL,2,26,0.08
M. Neto,ELC,2,22,0.09
Febas,ELC,2,29,0.07
Lo Celso,BET,2,17,0.12
Catena,OSA,2,28,0.07
Rubén García,OSA,2,27,0.07
E. Militão,RMA,2,15,0.13
Huijsen,RMA,2,23,0.09
Asencio,RMA,2,20,0.1
Á. Carreras,RMA,2,25,0.08
Oluwaseyi,VIL,2,23,0.09
Ayoze,VIL,2,18,0.11
Bernal,BAR,2,17,0.12
N. Mendy,RAY,2,18,0.11
Lookman,ATM,2,7,0.29
G. Rodriguez,VAL,2,8,0.25
Arnau,GIR,1,28,0.04
Mouriño,VIL,1,22,0.05
Rafa Marín,VIL,1,18,0.06
Óscar V.,RAY,1,25,0.04
Pep Chavarria,RAY,1,25,0.04
Ilic,OVI,1,18,0.06
Kounde,BAR,1,25,0.04
Cubarsí,BAR,1,24,0.04
Eric,BAR,1,27,0.04
F. De Jong,BAR,1,19,0.05
Toljan,LEV,1,28,0.04
Elgezabal,LEV,1,12,0.08
P. Martínez,LEV,1,18,0.06
Manu Sánchez,LEV,1,25,0.04
Caleta-Car,RSO,1,20,0.05
Aramburu,RSO,1,27,0.04
Javi Guerra,VAL,1,28,0.04
Santamaria,VAL,1,19,0.05
Gayà,VAL,1,25,0.04
Diakhaby,VAL,1,8,0.13
Mascarell,MLL,1,22,0.05
Mateu Jaume,MLL,1,16,0.06
Asano,MLL,1,15,0.07
S. Darder,MLL,1,29,0.03
Morlanes,MLL,1,23,0.04
A. J. Morales,LEV,1,19,0.05
Guevara,ALA,1,19,0.05
A. Rebbach,ALA,1,22,0.05
Ibáñez,ALA,1,28,0.04
Blanco,ALA,1,27,0.04
N. Tenaglia,ALA,1,27,0.04
Pol Lozano,ESP,1,26,0.04
Miguel Rubio,ESP,1,11,0.09
Dolan,ESP,1,28,0.04
R. Terrats,ESP,1,21,0.05
Edu Expósito,ESP,1,27,0.04
Jofre,ESP,1,21,0.05
Uche,GET,1,3,0.33
Iglesias,GET,1,28,0.04
Vivian,ATH,1,24,0.04
Iglesias,GET,1,29,0.03
Vivian,ATH,1,25,0.04
Paredes,ATH,1,17,0.06
R. De Galarreta,ATH,1,27,0.04
Maroan,ATH,1,9,0.11
Nico Serrano,ATH,1,13,0.08
Rego,ATH,1,21,0.05
Barrios,ATM,1,21,0.05
Le Normand,ATM,1,22,0.05
Carmona,SEV,1,28,0.04
Ejuke,SEV,1,22,0.05
Kike Salas,SEV,1,18,0.06
Lukébakio,SEV,1,2,0.5
Agoumé,SEV,1,26,0.04
Gudelj,SEV,1,26,0.04
Miguel,CEL,1,19,0.05
Oscar,CEL,1,26,0.04
Bryan,CEL,1,19,0.05
Marquitos,CEL,1,25,0.04
Ávila Chimy,BET,1,12,0.08
S. Altimira,BET,1,20,0.05
Bellerín,BET,1,18,0.06
Bartra,BET,1,22,0.05
A. Osambela,OSA,1,13,0.08
Abel Bretones,OSA,1,22,0.05
Boyomo,OSA,1,22,0.05
Kike Barja,OSA,1,19,0.05
Tchouameni,RMA,1,26,0.04
Fran García,RMA,1,9,0.11
Mastantuono,RMA,1,16,0.06
E. Militão,RMA,1,13,0.08
Rodrygo,RMA,1,19,0.05
Gorrotxa,RSO,1,25,0.04
Witsel,GIR,1,23,0.04
Rüdiger,RMA,1,12,0.08
Dendoncker,OVI,1,19,0.05
E. Bailly,OVI,1,9,0.11
David Costas,OVI,1,19,0.05
Domingos D.,GET,1,26,0.04
Unai G.,ATH,1,20,0.05
Oso,SEV,1,13,0.08
Pickel,ESP,1,17,0.06
Denis Suárez,ALA,1,22,0.05
Llorente R.,BET,1,12,0.08
Olasagasti,LEV,1,25,0.04
I. Benito,OSA,1,5,0.2
David Carmo,OVI,1,21,0.05
Pedrosa,ELC,1,21,0.05
Adam B.,ELC,1,7,0.14
H. Fort,ELC,1,9,0.11
Diang,ELC,1,17,0.06
B. Mendy,SEV,1,24,0.04
Odriozola,RSO,1,5,0.2
Kiko F.,GET,1,24,0.04
Solomon,VIL,1,6,0.17
Jan Virgili,MLL,1,24,0.04
Roony,BAR,1,16,0.06
Alemâo,RAY,1,19,0.05
Maffeo,MLL,1,25,0.04
Camavinga,RMA,1,23,0.04
J. Boñar,ATM,1,1,1.0
Joao Cancelo,BAR,1,9,0.11
Ángel P.,ALA,1,9,0.11
Fer López,CEL,1,10,0.1
Maupay,SEV,1,6,0.17
T. Morente,ELC,1,6,0.17
Mendoza,ATM,1,21,0.05
Fidalgo,BET,1,6,0.17
Ibrahim,ALA,1,3,0.33
Portu,GIR,0,10,0.0
Gazzaniga,GIR,0,28,0.0
A. Francés,GIR,0,19,0.0
Juan Carlos,GIR,0,0,0.0
David Lopez,GIR,0,4,0.0
Miovski,GIR,0,1,0.0
Krejci,GIR,0,2,0.0
Krapyvtsov,GIR,0,2,0.0
Jhon Solis,GIR,0,12,0.0
Iván Martín,GIR,0,29,0.0
Papa,GIR,0,0,0.0
Blind,GIR,0,28,0.0
Gibi,GIR,0,0,0.0
Asprilla,GIR,0,15,0.0
Pau Navarro,VIL,0,19,0.0
Foyth,VIL,0,13,0.0
A. Alti,VIL,0,1,0.0
Júnior R.,VIL,0,27,0.0
Parejo,VIL,0,24,0.0
Cabanes,VIL,0,0,0.0
