Player Name,Team,Goals Scored (GS),Games Played (GP),Average (OG),Expected Goals (xG)
Mbappé,RMA,23,26,0.88,23.0
Muriqi,MLL,19,29,0.66,15.7
Budimir,OSA,15,29,0.52,14.7
Lamine Yamal,BAR,14,26,0.54,12.8
Ferran,BAR,12,27,0.44,12.4
Oyarzabal,RSO,12,27,0.44,14.3
Lewandowski,BAR,12,25,0.48,13.0
Raphinha,BAR,11,20,0.55,9.8
Borja,CEL,11,27,0.41,2.9
Vini Jr.,RMA,11,30,0.37,12.5
De Frutos,RAY,10,28,0.36,9.6
Sørloth,ATM,10,29,0.34,8.9
Lucas Boyé,ALA,10,24,0.42,9.1
A. Moleiro,VIL,9,29,0.31,5.4
Hugo Duro,VAL,9,29,0.31,7.4
Mikautadze,VIL,9,25,0.36,8.9
Vanat,GIR,9,27,0.33,0.8
Gerard,VIL,8,16,0.5,6.0
Guedes,RSO,8,30,0.27,3.9
T. Martínez,ALA,8,29,0.28,8.9
Guedes,RSO,8,31,0.26,3.9
T. Martínez,ALA,8,30,0.27,8.9
J.alvarez,ATM,8,29,0.28,7.7
Akor,SEV,8,26,0.31,9.7
Rafa Mir,ELC,8,26,0.31,8.1
C. Hernández,BET,8,26,0.31,8.9
Olmo,BAR,7,26,0.27,7.2
Guruzeta,ATH,7,28,0.25,9.5
Jutgla,CEL,7,23,0.3,5.5
André Da Silva,ELC,7,24,0.29,9.3
P. Fornals,BET,7,31,0.23,3.6
Antony,BET,7,26,0.27,6.9
Buchanan,VIL,6,29,0.21,2.0
Rashford,BAR,6,26,0.23,6.9
Brais Méndez,RSO,6,27,0.22,5.8
Roberto,ESP,6,31,0.19,3.6
Pere Milla,ESP,6,27,0.22,6.6
Kike G.,ESP,6,30,0.2,7.8
Arambarri,GET,6,30,0.2,6.1
Griezmann,ATM,6,27,0.22,7.0
Tsygankov,GIR,5,25,0.2,5.5
Pepe,VIL,5,29,0.17,3.5
Rashford,BAR,5,25,0.2,6.9
Fermin,BAR,5,24,0.21,6.4
I. Romero,LEV,5,26,0.19,8.3
Carlos V.,ALA,5,21,0.24,4.1
C. Romero,ESP,5,28,0.18,5.1
Navarro,ATH,5,24,0.21,0.0
Sow,SEV,5,26,0.19,1.0
Álvaro,ELC,5,26,0.19,0.3
Víctor M.v.,OSA,5,30,0.17,5.7
Raúl,OSA,5,28,0.18,0.2
Valverde,RMA,5,29,0.17,2.8
Ramazani,VAL,5,19,0.26,6.4
Samu,MLL,5,27,0.19,3.1
Ez Abde,BET,5,21,0.24,2.0
Gueye,VIL,4,24,0.17,3.8
Álvaro,RAY,4,30,0.13,0.3
Ilyas,OVI,4,28,0.14,6.2
Oskarsson,RSO,4,13,0.31,3.5
Williams Jr,ATH,4,20,0.2,4.8
Giuliano,ATM,4,27,0.15,4.8
Isaac,SEV,4,22,0.18,0.1
Iago,CEL,4,24,0.17,4.3
Williot,CEL,4,22,0.18,3.5
Germán V.,ELC,4,29,0.14,2.5
Aitor Ruibal,BET,4,24,0.17,3.8
Arda Güler,RMA,4,31,0.13,4.6
Gonzalo,RMA,4,24,0.17,0.2
B. Mayoral,GET,4,14,0.29,2.9
C.soler,RSO,4,25,0.16,2.5
Ounahi,GIR,4,17,0.24,2.8
Bellingham,RMA,4,21,0.19,6.5
Satriano,GET,4,11,0.36,2.6
Lemar,GIR,3,21,0.14,3.2
Santi C.v.,VIL,3,28,0.11,0.4
Isi,RAY,3,29,0.1,0.1
A. Reina,OVI,3,29,0.1,2.9
R. Araujo,BAR,3,19,0.16,1.4
C. Alvarez,LEV,3,26,0.12,2.7
Diego López,VAL,3,26,0.12,2.3
Danjuma,VAL,3,27,0.11,4.7
Pablo Torre,MLL,3,27,0.11,1.2
Cabrera,ESP,3,29,0.1,2.4
Liso,GET,3,24,0.13,0.1
Almada,ATM,3,21,0.14,3.2
Hugo A.,CEL,3,21,0.14,2.0
Bakambu,BET,3,15,0.2,3.4
Iker,LEV,3,18,0.17,0.3
Stuani,GIR,3,13,0.23,0.1
Vargas,SEV,3,16,0.19,0.0
O. Sancet,ATH,3,23,0.13,6.2
Alexis,SEV,3,21,0.14,0.3
Nico,ATM,3,22,0.14,0.1
Vazquez,GET,3,10,0.3,1.2
Joel Roca,GIR,2,25,0.08,2.9
Lemar,GIR,2,20,0.1,3.2
Fran Pérez,RAY,2,25,0.08,1.7
Pacha,RAY,2,23,0.09,1.6
Pathé I. Ciss,RAY,2,21,0.1,3.2
Pedri,BAR,2,21,0.1,1.6
Dela,LEV,2,25,0.08,1.8
Take,RSO,2,18,0.11,0.4
Sucic,RSO,2,14,0.14,1.5
Cömert,VAL,2,12,0.17,1.1
Pepelu,VAL,2,23,0.09,3.5
L. Rioja,VAL,2,28,0.07,1.9
Mateo Joseph,MLL,2,28,0.07,5.1
Puado,ESP,2,10,0.2,3.5
Mario Martín,GET,2,27,0.07,2.0
Berenguer,ATH,2,24,0.08,4.1
Williams,ATH,2,21,0.1,4.8
Jaureguizar,ATH,2,28,0.07,1.5
