Player,Team,Assists,Matches Played,Coefficient,xA,Season
Luis Suárez,Barcelona,18,35,0.51,,15-16
Lionel Messi,Barcelona,16,33,0.48,,15-16
Neymar,Barcelona,16,34,0.47,,15-16
Koke,Ath Madrid,15,35,0.43,,15-16
Marco Asensio,Espanol,13,34,0.38,,15-16
Roberto Soldado,Villarreal,12,28,0.43,,15-16
Toni Kroos,Real Madrid,11,32,0.34,,15-16
Gareth Bale,Real Madrid,11,23,0.48,,15-16
Cristiano Ronaldo,Real Madrid,11,36,0.31,,15-16
Lucas Pérez,La Coruna,10,36,0.28,,15-16
Jony,Sp Gijon,9,36,0.25,,15-16
James Rodríguez,Real Madrid,8,26,0.31,,15-16
Lucas Vázquez,Real Madrid,8,25,0.32,,15-16
Karim Benzema,Real Madrid,8,27,0.3,,15-16
Markel Susaeta,Ath Bilbao,8,28,0.29,,15-16
Jordi Alba,Barcelona,8,31,0.26,,15-16
Roberto Trashorras,Vallecano,8,36,0.22,,15-16
Jonathan Viera,Las Palmas,8,36,0.22,,15-16
Sergi Enrich,Eibar,8,38,0.21,,15-16
Bebé,Vallecano,8,34,0.24,,15-16
A. Aduriz,Ath Bilbao,6,34,0.18,,15-16
P. Alcácer,Valencia,6,34,0.18,,15-16
Pablo Sarabia,Getafe,6,31,0.19,,15-16
Rubén Rochina,Granada,6,35,0.17,,15-16
Raúl García,Ath Bilbao,6,31,0.19,,15-16
Víctor Sánchez,Espanol,6,29,0.21,,15-16
Jesé Rodríguez,Real Madrid,6,28,0.21,,15-16
A. Halilović,Sp Gijon,5,36,0.14,,15-16
Joaquín,Betis,5,30,0.17,,15-16
Sergi Roberto,Barcelona,5,31,0.16,,15-16
Dani Parejo,Valencia,5,33,0.15,,15-16
Morales,Levante,5,35,0.14,,15-16
D. Wass,Celta,5,36,0.14,,15-16
Ander Capa,Eibar,5,36,0.14,,15-16
A. Griezmann,Ath Madrid,5,38,0.13,,15-16
Rosales,Malaga,5,35,0.14,,15-16
Danilo,Real Madrid,5,24,0.21,,15-16
Ángel Correa,Ath Madrid,4,26,0.15,,15-16
Tana,Las Palmas,4,27,0.15,,15-16
Fernando Torres,Ath Madrid,4,30,0.13,,15-16
Adrián,Villarreal,4,16,0.25,,15-16
Yuri,Sociedad,4,21,0.19,,15-16
Miku,Vallecano,4,22,0.18,,15-16
João Cancelo,Valencia,4,28,0.14,,15-16
Chory Castro,Malaga,4,24,0.17,,15-16
P. Hernández,Vallecano,4,27,0.15,,15-16
Dani Carvajal,Real Madrid,4,22,0.18,,15-16
Vitolo,Sevilla,4,28,0.14,,15-16
Saúl Berjón,Eibar,4,29,0.14,,15-16
D. Alves,Barcelona,4,29,0.14,,15-16
Tito,Vallecano,4,29,0.14,,15-16
Adrián Embarba,Vallecano,4,28,0.14,,15-16
N. El Zhar,Las Palmas,4,30,0.13,,15-16
Pedro León,Getafe,4,31,0.13,,15-16
Sergio Busquets,Barcelona,4,35,0.11,,15-16
Kévin Gameiro,Sevilla,4,31,0.13,,15-16
D. Juncà,Eibar,4,31,0.13,,15-16
Lora,Sp Gijon,4,31,0.13,,15-16
Denis Suárez,Villarreal,4,33,0.12,,15-16
Y. Konoplyanka,Sevilla,4,32,0.13,,15-16
Luka Modrić,Real Madrid,4,32,0.13,,15-16
Recio,Malaga,4,33,0.12,,15-16
P. Hernández,Celta,4,33,0.12,,15-16
Filipe Luís,Ath Madrid,4,32,0.13,,15-16
F. Fajr,La Coruna,4,38,0.11,,15-16
Álvaro Vázquez,Getafe,4,34,0.12,,15-16
C. Vela,Sociedad,4,35,0.11,,15-16
Iago Aspas,Celta,4,35,0.11,,15-16
Jonny,Celta,4,36,0.11,,15-16
Hugo Mallo,Celta,4,34,0.12,,15-16
Rubén Castro,Betis,4,38,0.11,,15-16
Moi Gómez,Getafe,3,22,0.14,,15-16
Casemiro,Real Madrid,3,23,0.13,,15-16
A. Peñaranda,Granada,3,23,0.13,,15-16
Momo,Las Palmas,3,23,0.13,,15-16
F. Llorente,Sevilla,3,23,0.13,,15-16
A. Turan,Barcelona,3,18,0.17,,15-16
C. Carmona,Sp Gijon,3,20,0.15,,15-16
D. Zurutuza,Sociedad,3,16,0.19,,15-16
Z. Bakkali,Valencia,3,16,0.19,,15-16
L. Vietto,Ath Madrid,3,19,0.16,,15-16
Mariano,Sevilla,3,23,0.13,,15-16
Burgui,Espanol,3,26,0.12,,15-16
B. Trémoulinas,Sevilla,3,24,0.13,,15-16
C. Borges,La Coruna,3,24,0.13,,15-16
Verza,Levante,3,29,0.1,,15-16
Keko Gontán,Eibar,3,29,0.1,,15-16
T. Inui,Eibar,3,27,0.11,,15-16
M. Krohn-Dehli,Sevilla,3,27,0.11,,15-16
F. Cartabia,La Coruna,3,26,0.12,,15-16
Rodrigo Moreno,Valencia,3,25,0.12,,15-16
I. Williams,Ath Bilbao,3,25,0.12,,15-16
Carles Planas,Celta,3,26,0.12,,15-16
Marcelo,Real Madrid,3,30,0.1,,15-16
Toni Kroos,Real Madrid,12,29,0.41,,16-17
Luis Suárez,Barcelona,12,35,0.34,,16-17
Neymar,Barcelona,10,30,0.33,,16-17
Pablo Piatti,Espanol,10,30,0.33,,16-17
Marcelo,Real Madrid,10,30,0.33,,16-17
Isco,Real Madrid,9,30,0.3,,16-17
Lionel Messi,Barcelona,9,34,0.26,,16-17
Koke,Ath Madrid,8,36,0.22,,16-17
Dani Parejo,Valencia,8,36,0.22,,16-17
Ángel Correa,Ath Madrid,8,31,0.26,,16-17
Pablo Sarabia,Sevilla,8,34,0.24,,16-17
Nani,Valencia,8,25,0.32,,16-17
Antoine Griezmann,Ath Madrid,7,36,0.19,,16-17
Lucas Vázquez,Real Madrid,7,33,0.21,,16-17
Mikel Oyarzabal,Sociedad,7,38,0.18,,16-17
Sergi Enrich,Eibar,7,38,0.18,,16-17
Álex Berenguer,Osasuna,6,29,0.21,,16-17
I. Williams,Ath Bilbao,6,38,0.16,,16-17
Sergi Roberto,Barcelona,6,32,0.19,,16-17
C. Ronaldo,Real Madrid,6,29,0.21,,16-17
Jordi Alba,Barcelona,6,26,0.23,,16-17
Xabi Prieto,Sociedad,6,38,0.16,,16-17
Jonathan Viera,Las Palmas,6,31,0.19,,16-17
