Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Referee,B365H,B365D,B365A,Home_PPDA,Away_PPDA
2015-08-21,Malaga,Sevilla,0,0,D,25,10,5,2,7,2,19,11,3,3,0,1,Alfonso Álvarez,3.4,3.4,2.15,4.71,8.95
2015-08-22,Ath Madrid,Las Palmas,1,0,H,14,8,3,1,4,4,11,16,2,0,0,0,Eduardo Prieto,1.2,6.5,15.0,7.667,11.76
2015-08-22,Espanol,Getafe,1,0,H,4,14,2,3,5,6,19,14,2,3,0,1,Jesús Gil,1.91,3.4,4.33,10.429,4.379
2015-08-22,La Coruna,Sociedad,0,0,D,15,9,5,2,5,4,16,10,3,2,0,0,Antonio Matéu Lahoz,2.5,3.2,3.0,7.882,13.55
2015-08-22,Vallecano,Valencia,0,0,D,8,10,3,4,3,3,19,11,3,1,0,0,Alberto Undiano,3.6,3.5,2.05,5.118,9.778
2015-08-23,Ath Bilbao,Barcelona,0,1,A,8,10,2,4,2,4,16,11,3,3,0,0,Carlos del Cerro,6.5,4.33,1.5,16.519,6.632
2015-08-23,Betis,Villarreal,1,1,D,22,8,6,4,7,5,11,26,3,1,0,1,Iñaki Bikandi,2.8,3.25,2.6,2.312,5.414
2015-08-23,Levante,Celta,1,2,A,11,15,2,6,4,6,12,17,1,3,1,0,Ricardo de Burgos,3.6,3.3,2.15,28.333,4.034
2015-08-23,Sp Gijon,Real Madrid,0,0,D,6,27,0,8,2,5,20,4,4,0,0,0,Daniel Ask,13.0,6.5,1.22,10.933,6.28
2015-08-24,Granada,Eibar,1,3,A,12,10,6,4,6,5,5,23,1,6,1,0,Ignacio Iglesias,1.91,3.3,4.5,6.483,9.167
2015-08-28,Villarreal,Espanol,3,1,H,14,4,4,2,2,3,10,20,1,6,0,0,Carlos Velasco,1.57,3.8,6.5,6.188,12.762
2015-08-29,Barcelona,Malaga,1,0,H,22,4,13,1,15,2,4,21,0,3,0,0,Santiago Jaime,1.1,10.0,26.0,5.0,9.448
2015-08-29,Celta,Vallecano,3,0,H,11,3,7,0,5,4,7,11,2,2,0,1,Juan Martínez,1.53,4.33,6.0,6.219,30.214
2015-08-29,Real Madrid,Betis,5,0,H,21,7,11,1,11,4,12,14,3,3,0,0,Alejandro Hernández,1.1,10.0,26.0,5.727,25.769
2015-08-29,Sociedad,Sp Gijon,0,0,D,12,7,1,2,6,4,10,15,4,5,0,0,José Sánchez,1.85,3.5,4.5,6.8,23.182
2015-08-30,Eibar,Ath Bilbao,2,0,H,9,9,8,1,11,4,14,13,2,2,0,0,David Fernández,4.0,3.1,2.1,9.714,6.276
2015-08-30,Getafe,Granada,1,2,A,16,9,4,4,6,6,16,15,5,3,0,0,Eduardo Prieto,2.05,3.2,4.0,5.318,7.577
2015-08-30,Las Palmas,Levante,0,0,D,16,3,2,2,3,0,14,21,2,4,0,0,Pedro Pérez,1.91,3.3,4.5,3.714,8.735
2015-08-30,Sevilla,Ath Madrid,0,3,A,25,17,7,7,11,1,17,13,3,4,0,0,Carlos Clos Gómez,2.8,3.2,2.63,6.7,10.6
2015-08-30,Valencia,La Coruna,1,1,D,12,12,5,3,5,7,13,15,2,1,1,0,José González,1.44,4.33,8.0,7.913,8.143
2015-09-11,Levante,Sevilla,1,1,D,14,8,4,3,5,4,12,8,3,3,0,0,Ignacio Iglesias,4.75,3.75,1.75,8.95,15.154
2015-09-12,Ath Madrid,Barcelona,1,2,A,11,13,3,5,1,10,17,5,3,1,0,0,Antonio Matéu Lahoz,3.3,3.2,2.3,13.5,10.125
2015-09-12,Betis,Sociedad,1,0,H,9,15,2,3,2,4,12,9,4,3,1,0,Alfonso Álvarez,2.3,3.3,3.2,7.885,5.542
2015-09-12,Espanol,Real Madrid,0,6,A,14,15,3,8,5,6,19,10,2,2,0,0,Iñaki Bikandi,10.0,5.0,1.33,8.788,13.842
2015-09-12,Sp Gijon,Valencia,0,1,A,16,17,8,3,5,6,16,11,3,3,0,0,Carlos del Cerro,3.4,3.2,2.25,10.1,6.828
2015-09-13,Ath Bilbao,Getafe,3,1,H,14,11,6,3,12,5,12,15,1,4,0,0,Pedro Pérez,1.57,3.75,7.0,7.222,6.758
2015-09-13,Celta,Las Palmas,3,3,D,26,9,12,5,7,2,19,14,0,3,0,1,Daniel Ask,1.5,4.2,7.0,4.0,19.789
2015-09-13,Granada,Villarreal,1,3,A,13,8,2,5,8,6,16,21,2,4,0,0,Jesús Gil,3.5,3.1,2.25,5.0,4.946
2015-09-13,Malaga,Eibar,0,0,D,10,7,4,0,7,3,11,13,2,4,0,0,Alberto Undiano,1.75,3.5,5.25,4.774,6.419
2015-09-14,Vallecano,La Coruna,1,3,A,8,14,2,8,5,4,12,10,2,2,1,0,Ricardo de Burgos,2.1,3.5,3.5,8.867,11.452
2015-09-18,Getafe,Malaga,1,0,H,10,13,4,3,4,7,18,11,5,2,0,0,José Sánchez,2.6,3.1,2.9,9.68,5.417
2015-09-19,Eibar,Ath Madrid,0,2,A,9,14,3,6,1,4,13,7,2,1,0,0,Alejandro Hernández,7.0,3.75,1.57,10.912,7.567
2015-09-19,Real Madrid,Granada,1,0,H,20,12,10,3,10,1,9,15,1,3,0,0,Juan Martínez,1.06,15.0,26.0,5.241,11.727
