Player,Team,Goals,Matches Played,Coefficient,Season,xG
Luis Suárez,Barcelona,40,35,1.14,15-16,
Cristiano Ronaldo,Real Madrid,35,36,0.97,15-16,
Lionel Messi,Barcelona,26,33,0.79,15-16,
Neymar,Barcelona,24,34,0.71,15-16,
Karim Benzema,Real Madrid,24,27,0.89,15-16,
Antoine Griezmann,Ath Madrid,22,38,0.58,15-16,
Aritz Aduriz,Ath Bilbao,20,34,0.59,15-16,
Gareth Bale,Real Madrid,19,23,0.83,15-16,
Rubén Castro,Betis,19,38,0.5,15-16,
Borja Bastón,Eibar,18,36,0.5,15-16,
Lucas Pérez,La Coruna,17,36,0.47,15-16,
Kévin Gameiro,Sevilla,16,31,0.52,15-16,
Youssef El-Arabi,Granada,15,35,0.43,15-16,
Iago Aspas,Celta,14,35,0.4,15-16,
Imanol Agirretxe,Sociedad,13,16,0.81,15-16,
Paco Alcácer,Valencia,13,34,0.38,15-16,
Nolito,Celta,12,29,0.41,15-16,
Charles,Malaga,12,35,0.34,15-16,
Cédric Bakambu,Villarreal,12,34,0.35,15-16,
Javi Guerra,Vallecano,12,30,0.4,15-16,
Fernando Torres,Ath Madrid,11,30,0.37,15-16,
Antonio Sanabria,Sp Gijon,11,29,0.38,15-16,
Jonathan Viera,Las Palmas,10,36,0.28,15-16,
Jozabed Sánchez,Vallecano,10,27,0.37,15-16,
Sergi Enrich,Eibar,9,38,0.24,15-16,
F. Caicedo,Espanol,8,31,0.26,15-16,
Dani Parejo,Valencia,8,33,0.24,15-16,
I. Williams,Ath Bilbao,8,25,0.32,15-16,
J. Guidetti,Celta,7,35,0.2,15-16,
H. Pérez,Espanol,7,32,0.22,15-16,
Carlos Castro,Sp Gijon,7,25,0.28,15-16,
Ivan Rakitić,Barcelona,7,36,0.19,15-16,
Morales,Levante,7,35,0.2,15-16,
F. Orellana,Celta,7,33,0.21,15-16,
Gerard Moreno,Espanol,7,32,0.22,15-16,
Raúl García,Ath Bilbao,7,31,0.23,15-16,
Pablo Sarabia,Getafe,7,31,0.23,15-16,
Duje Čop,Malaga,7,31,0.23,15-16,
V. Iborra,Sevilla,7,29,0.24,15-16,
Jonathas,Sociedad,7,27,0.26,15-16,
James,Real Madrid,7,26,0.27,15-16,
Isaac Success,Granada,6,30,0.2,15-16,
Rubén Rochina,Granada,6,35,0.17,15-16,
S. Šćepović,Getafe,6,34,0.18,15-16,
G. Rossi,Levante,6,17,0.35,15-16,
Luis Alberto,La Coruna,6,29,0.21,15-16,
M. Oyarzabal,Sociedad,6,22,0.27,15-16,
Adrián,Eibar,5,32,0.16,15-16,
C. Vela,Sociedad,5,35,0.14,15-16,
Álvaro Vázquez,Getafe,5,34,0.15,15-16,
Sergio Araujo,Las Palmas,5,30,0.17,15-16,
Koke,Ath Madrid,5,35,0.14,15-16,
Jony,Sp Gijon,5,36,0.14,15-16,
F. Fajr,La Coruna,5,38,0.13,15-16,
Bruno,Villarreal,5,31,0.16,15-16,
A. Peñaranda,Granada,5,23,0.22,15-16,
R. Soldado,Villarreal,5,28,0.18,15-16,
Tana,Las Palmas,5,27,0.19,15-16,
Ángel Correa,Ath Madrid,5,26,0.19,15-16,
É. Banega,Sevilla,5,25,0.2,15-16,
Á. Negredo,Valencia,5,25,0.2,15-16,
Sabin Merino,Ath Bilbao,5,22,0.23,15-16,
Jesé Rodríguez,Real Madrid,5,28,0.18,15-16,
Saúl Berjón,Eibar,4,29,0.14,15-16,
M. Asensio,Espanol,4,34,0.12,15-16,
Denis Suárez,Villarreal,4,33,0.12,15-16,
Y. Konoplyanka,Sevilla,4,32,0.13,15-16,
Saúl,Ath Madrid,4,31,0.13,15-16,
Y. Carrasco,Ath Madrid,4,29,0.14,15-16,
Juanpi,Malaga,4,29,0.14,15-16,
Manucho,Vallecano,4,28,0.14,15-16,
Santi Mina,Valencia,4,26,0.15,15-16,
Lucas Vázquez,Real Madrid,4,25,0.16,15-16,
F. Llorente,Sevilla,4,23,0.17,15-16,
Adrián,Villarreal,4,16,0.25,15-16,
T. Inui,Eibar,3,27,0.11,15-16,
G. Escalante,Eibar,3,34,0.09,15-16,
Isco,Real Madrid,3,31,0.1,15-16,
Pape Diop,Espanol,3,30,0.1,15-16,
André Gomes,Valencia,3,30,0.1,15-16,
Keko Gontán,Eibar,3,29,0.1,15-16,
