Team,Total_Apps,Missing_Key_Players,Total_Injured,Missing_Impact_Pct,Missing_Goals_Pct,Missing_Assists_Pct,Missing_NP_Goals_Pct,Missing_Yellows_Pct,Missing_Reds_Pct
Alaves,595,0,1,0.0,0.0,0.0,0.0,2.38,20.0
Ath Bilbao,753,0,1,0.0,0.0,0.0,0.0,1.52,0.0
Ath Madrid,854,4,4,16.28,10.0,10.53,11.54,13.24,16.67
Barcelona,823,2,2,9.23,23.42,21.54,25.93,9.43,0.0
Celta,802,1,1,3.62,6.25,0.0,2.56,4.41,0.0
Elche,593,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Espanol,554,0,1,0.0,0.0,0.0,3.03,2.41,0.0
Getafe,540,1,1,3.15,2.94,4.35,16.0,0.0,0.0
Girona,546,1,3,5.31,9.38,4.76,27.27,8.7,0.0
Levante,575,1,1,2.78,3.57,4.35,0.0,3.9,0.0
Mallorca,563,2,4,9.41,20.59,20.69,5.41,10.67,0.0
Osasuna,579,0,1,0.0,2.56,0.0,3.03,1.25,0.0
Vallecano,781,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Betis,768,1,1,2.99,3.23,0.0,0.0,1.54,0.0
Real Madrid,785,4,4,17.71,31.4,34.0,39.66,15.62,0.0
Oviedo,541,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sociedad,657,0,1,0.0,0.0,0.0,2.5,0.0,0.0
Sevilla,587,0,1,0.0,0.0,0.0,2.94,5.21,20.0
Valencia,607,4,5,14.0,2.78,5.26,3.33,27.27,0.0
Villarreal,738,1,1,2.44,0.0,0.0,0.0,2.5,0.0
