"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"xGA";"ppda";"xPTS"
1;"Atletico Madrid";38;26;8;4;67;25;86;57.66;35.67;10.32;66.41
2;"Real Madrid";38;25;9;4;67;28;84;65.07;38.7;10.14;69.98
3;"Barcelona";38;24;7;7;85;38;79;83.96;40.93;9.51;78.18
4;"Sevilla";38;24;5;9;53;33;77;55.86;34.33;8.15;66.96
5;"Real Sociedad";38;17;11;10;59;38;62;63.15;38.8;8.06;67.61
6;"Real Betis";38;17;10;11;50;50;61;49.77;47.51;9.12;55.37
7;"Villarreal";38;15;13;10;60;44;58;57.86;43.67;9.85;63.77
8;"Celta Vigo";38;14;11;13;55;57;53;51.32;50.31;7.4;52.83
9;"Athletic Club";38;11;13;14;46;42;46;43.06;38.46;9.75;54.77
10;"Granada";38;13;7;18;47;65;46;41.05;59.82;10.74;40.58
11;"Osasuna";38;11;11;16;37;48;44;39.61;49.83;10.91;45.1
12;"Cadiz";38;11;11;16;36;58;44;36.7;58.91;16.57;39.01
13;"Valencia";38;10;13;15;50;53;43;41.89;55.69;10.94;42.38
14;"Levante";38;9;14;15;46;57;41;40.93;55.13;9.47;43.53
15;"Getafe";38;9;11;18;28;43;38;35.62;40.4;8.81;48.39
16;"Alaves";38;9;11;18;36;57;38;39.11;51.55;12.25;43.23
17;"Elche";38;8;12;18;34;55;36;30.4;61.63;13.23;30.31
18;"SD Huesca";38;7;13;18;34;53;34;37.98;48.64;11.32;45.23
19;"Real Valladolid";38;5;16;17;34;57;31;37.92;52.56;10.57;41.53
20;"Eibar";38;6;12;20;29;52;30;42.45;48.84;8.99;48.62
