Season,Team,Date,h_a,PPDA,OPPDA
15-16,Malaga,2015-08-21 22:30:00,h,4.709677419354839,8.95
15-16,Malaga,2015-08-29 22:30:00,a,9.448275862068966,5.0
15-16,Malaga,2015-09-13 22:30:00,h,4.774193548387097,6.419354838709677
15-16,Malaga,2015-09-18 22:30:00,a,5.416666666666667,9.68
15-16,Malaga,2015-09-24 00:00:00,h,4.282051282051282,7.8
15-16,Malaga,2015-09-26 20:15:00,a,24.363636363636363,7.0476190476190474
15-16,Malaga,2015-10-04 00:05:00,h,9.633333333333333,6.25
15-16,Malaga,2015-10-18 00:00:00,a,5.333333333333333,8.727272727272727
15-16,Malaga,2015-10-25 00:05:00,h,7.5625,8.178571428571429
15-16,Malaga,2015-11-01 21:15:00,a,5.84,13.428571428571429
15-16,Malaga,2015-11-08 01:05:00,h,3.75,9.095238095238095
15-16,Malaga,2015-11-21 23:30:00,a,4.71875,7.44
15-16,Malaga,2015-11-28 23:30:00,h,8.652173913043478,3.8518518518518516
15-16,Malaga,2015-12-06 23:30:00,a,4.514285714285714,8.037037037037036
15-16,Malaga,2015-12-13 15:00:00,a,5.5,6.444444444444445
15-16,Malaga,2015-12-20 23:30:00,h,5.354838709677419,7.484848484848484
15-16,Malaga,2015-12-30 19:00:00,a,4.9655172413793105,6.206896551724138
15-16,Malaga,2016-01-03 01:05:00,h,6.878787878787879,7.125
15-16,Malaga,2016-01-10 21:15:00,a,11.821428571428571,6.366666666666666
15-16,Malaga,2016-01-16 19:00:00,a,6.146341463414634,5.241379310344827
15-16,Malaga,2016-01-23 19:00:00,h,9.6,4.392857142857143
15-16,Malaga,2016-01-30 21:15:00,a,8.181818181818182,3.230769230769231
15-16,Malaga,2016-02-05 23:30:00,h,9.064516129032258,6.571428571428571
15-16,Malaga,2016-02-13 21:15:00,a,8.413793103448276,9.12
15-16,Malaga,2016-02-21 19:00:00,h,9.387096774193548,6.043478260869565
15-16,Malaga,2016-02-28 01:05:00,a,9.047619047619047,5.592592592592593
15-16,Malaga,2016-03-02 23:00:00,h,5.05,6.16
15-16,Malaga,2016-03-06 01:05:00,a,11.65,9.80952380952381
15-16,Malaga,2016-03-11 23:30:00,h,6.916666666666667,7.7407407407407405
15-16,Malaga,2016-03-20 01:05:00,a,10.473684210526315,5.823529411764706
15-16,Malaga,2016-04-03 18:00:00,h,4.387096774193548,12.409090909090908
15-16,Malaga,2016-04-08 22:30:00,a,8.576923076923077,8.12
15-16,Malaga,2016-04-17 14:00:00,h,9.761904761904763,4.717948717948718
15-16,Malaga,2016-04-20 22:45:00,h,5.777777777777778,8.217391304347826
15-16,Malaga,2016-04-23 20:15:00,a,6.916666666666667,6.184210526315789
15-16,Malaga,2016-05-02 22:30:00,h,7.5,8.407407407407407
15-16,Malaga,2016-05-08 19:00:00,a,12.076923076923077,7.538461538461538
15-16,Malaga,2016-05-15 14:00:00,h,11.096774193548388,7.095238095238095
15-16,Sevilla,2015-08-21 22:30:00,a,8.95,4.709677419354839
15-16,Sevilla,2015-08-30 22:30:00,h,6.7,10.6
15-16,Sevilla,2015-09-11 22:30:00,a,15.153846153846153,8.95
15-16,Sevilla,2015-09-20 14:00:00,h,9.2,5.470588235294118
15-16,Sevilla,2015-09-24 00:00:00,a,3.641025641025641,10.818181818181818
15-16,Sevilla,2015-09-26 22:30:00,h,8.538461538461538,5.628571428571429
15-16,Sevilla,2015-10-03 18:00:00,h,9.333333333333334,5.666666666666667
15-16,Sevilla,2015-10-17 20:15:00,a,5.392857142857143,8.73076923076923
15-16,Sevilla,2015-10-24 22:30:00,h,8.041666666666666,13.5
15-16,Sevilla,2015-10-31 21:15:00,a,7.88,6.67741935483871
15-16,Sevilla,2015-11-08 23:30:00,h,14.55,13.523809523809524
15-16,Sevilla,2015-11-21 19:00:00,a,7.451612903225806,8.38888888888889
15-16,Sevilla,2015-11-29 23:30:00,h,4.487804878048781,11.142857142857142
15-16,Sevilla,2015-12-06 01:00:00,a,5.655172413793103,11.238095238095237
15-16,Sevilla,2015-12-12 23:30:00,h,3.870967741935484,22.5
15-16,Sevilla,2015-12-19 23:30:00,a,3.8076923076923075,6.066666666666666
15-16,Sevilla,2015-12-30 21:15:00,h,9.678571428571429,7.857142857142857
15-16,Sevilla,2016-01-03 19:00:00,a,6.833333333333333,8.0
15-16,Sevilla,2016-01-09 21:15:00,h,11.25,8.366666666666667
15-16,Sevilla,2016-01-16 19:00:00,h,5.241379310344827,6.146341463414634
15-16,Sevilla,2016-01-24 19:00:00,a,10.818181818181818,4.16
15-16,Sevilla,2016-01-31 15:00:00,h,11.272727272727273,13.0
15-16,Sevilla,2016-02-07 21:15:00,a,14.91304347826087,3.4615384615384617
15-16,Sevilla,2016-02-14 19:00:00,h,6.2,10.217391304347826
15-16,Sevilla,2016-02-21 15:00:00,a,6.17948717948718,4.181818181818182
15-16,Sevilla,2016-02-28 23:30:00,a,12.423076923076923,4.2727272727272725
15-16,Sevilla,2016-03-02 23:00:00,h,10.571428571428571,7.545454545454546
15-16,Sevilla,2016-03-05 23:30:00,a,6.310344827586207,9.65
15-16,Sevilla,2016-03-13 19:00:00,h,8.045454545454545,14.277777777777779
15-16,Sevilla,2016-03-20 23:30:00,a,21.23076923076923,6.916666666666667
15-16,Sevilla,2016-04-03 22:30:00,h,4.206896551724138,10.0
15-16,Sevilla,2016-04-10 18:00:00,a,6.076923076923077,6.866666666666666
15-16,Sevilla,2016-04-17 18:00:00,h,10.2,12.72
15-16,Sevilla,2016-04-20 22:45:00,a,8.173913043478262,10.222222222222221
15-16,Sevilla,2016-04-24 18:00:00,h,4.3,11.736842105263158
15-16,Sevilla,2016-05-01 18:00:00,a,5.3478260869565215,5.590909090909091
15-16,Sevilla,2016-05-08 19:00:00,h,5.703703703703703,14.045454545454545
15-16,Sevilla,2016-05-14 21:30:00,a,19.1875,7.545454545454546
15-16,Deportivo La Coruna,2015-08-22 20:30:00,h,7.882352941176471,13.55
15-16,Deportivo La Coruna,2015-08-30 22:30:00,a,8.142857142857142,7.913043478260869
15-16,Deportivo La Coruna,2015-09-14 22:30:00,a,11.451612903225806,8.866666666666667
15-16,Deportivo La Coruna,2015-09-20 18:00:00,h,5.4,9.28
15-16,Deportivo La Coruna,2015-09-25 00:05:00,a,9.6875,5.68
15-16,Deportivo La Coruna,2015-09-27 18:00:00,h,14.210526315789474,14.0
15-16,Deportivo La Coruna,2015-10-03 20:15:00,a,5.96969696969697,6.0476190476190474
15-16,Deportivo La Coruna,2015-10-18 22:30:00,h,6.814814814814815,7.138888888888889
15-16,Deportivo La Coruna,2015-10-25 00:05:00,a,8.178571428571429,7.5625
15-16,Deportivo La Coruna,2015-10-30 23:30:00,h,15.64,9.958333333333334
15-16,Deportivo La Coruna,2015-11-07 21:15:00,a,14.266666666666667,7.375
15-16,Deportivo La Coruna,2015-11-22 01:05:00,h,7.078947368421052,5.2592592592592595
15-16,Deportivo La Coruna,2015-11-29 01:00:00,a,13.84,5.708333333333333
15-16,Deportivo La Coruna,2015-12-06 01:00:00,h,11.238095238095237,5.655172413793103
15-16,Deportivo La Coruna,2015-12-12 19:00:00,a,12.272727272727273,5.375
15-16,Deportivo La Coruna,2015-12-20 01:05:00,h,13.0,5.28125
15-16,Deportivo La Coruna,2015-12-30 23:30:00,a,7.0,8.0
15-16,Deportivo La Coruna,2016-01-03 21:15:00,h,6.54054054054054,13.578947368421053
15-16,Deportivo La Coruna,2016-01-09 23:30:00,a,13.916666666666666,8.612903225806452
15-16,Deportivo La Coruna,2016-01-17 01:05:00,a,23.727272727272727,7.04
15-16,Deportivo La Coruna,2016-01-24 21:15:00,h,8.4,9.833333333333334
15-16,Deportivo La Coruna,2016-02-01 23:30:00,h,6.344827586206897,6.583333333333333
15-16,Deportivo La Coruna,2016-02-07 01:05:00,a,4.935483870967742,9.125
15-16,Deportivo La Coruna,2016-02-14 01:05:00,h,5.78125,7.904761904761905
15-16,Deportivo La Coruna,2016-02-20 21:15:00,a,7.647058823529412,8.709677419354838
15-16,Deportivo La Coruna,2016-02-28 21:15:00,h,5.0,13.368421052631579
15-16,Deportivo La Coruna,2016-03-02 23:00:00,a,13.291666666666666,12.68421052631579
15-16,Deportivo La Coruna,2016-03-06 01:05:00,h,9.80952380952381,11.65
15-16,Deportivo La Coruna,2016-03-12 23:30:00,a,15.461538461538462,12.863636363636363
15-16,Deportivo La Coruna,2016-03-19 23:30:00,h,13.375,10.277777777777779
15-16,Deportivo La Coruna,2016-04-03 00:05:00,a,12.826086956521738,4.6923076923076925
15-16,Deportivo La Coruna,2016-04-11 22:30:00,h,12.193548387096774,11.375
15-16,Deportivo La Coruna,2016-04-17 18:00:00,a,12.72,10.2
15-16,Deportivo La Coruna,2016-04-20 22:00:00,h,19.857142857142858,8.842105263157896
